LABELS
SEPARATOR TAB
DATA
G000005825	s__Bacillus pseudofirmus
G000010325	g__Nitratiruptor
G000010345	s__Sulfurovum sp. NBC37-1
G000010405	s__Calyptogena okutanii thioautotrophic gill symbiont
G000010425	s__Bifidobacterium adolescentis
G000010525	s__Azorhizobium caulinodans
G000010565	s__Pelotomaculum thermopropionicum
G000010585	g__Macrococcus
G000010605	s__Streptomyces griseus
G000010645	g__Ca. Azobacteroides
G000010825	s__Acetobacter pasteurianus
G000010985	g__Deferribacter
G000011005	s__Methanocella paludicola
G000011025	s__Rothia mucilaginosa
G000011105	s__Pyrococcus horikoshii
G000011125	s__Aeropyrum pernix
G000011185	s__Thermoplasma volcanium
G000011205	s__Sulfolobus tokodaii
G000011225	s__Mycoplasma penetrans
G000011245	s__Oceanobacillus iheyensis
G000011305	s__Corynebacterium efficiens
G000011345	s__Thermosynechococcus elongatus
G000011365	s__Bradyrhizobium diazoefficiens
G000011385	s__Gloeobacter violaceus
G000011545	s__Burkholderia pseudomallei
G000011565	s__Ca. Protochlamydia amoebophila
G000011645	s__Bacillus licheniformis
G000011705	s__Burkholderia mallei
G000011745	s__Ca. Blochmannia pennsylvanicus
G000011805	s__Aliivibrio fischeri
G000011965	s__Ruegeria pomeroyi
G000012085	s__Borrelia turicatae
G000012145	s__Rickettsia felis
G000012225	s__Aster yellows witches'-broom phytoplasma
G000012245	s__Pseudomonas syringae
G000012305	s__Psychrobacter arcticus
G000012405	g__Thermobifida
G000012425	s__Dechloromonas aromatica
G000012485	s__Pelodictyon luteolum
G000012505	s__Synechococcus sp. CC9902
G000012545	s__Methanosphaera stadtmanae
G000012565	s__Ehrlichia canis
G000012585	s__Chlorobium chlorochromatii
G000012605	s__Thiomicrospira crunogena
G000012685	s__Myxococcus xanthus
G000012725	s__Nitrobacter winogradskyi
G000012805	s__Nitrosococcus oceani
G000012825	s__Bacteroides vulgatus
G000012845	s__Parabacteroides distasonis
G000012865	s__Carboxydothermus hydrogenoformans
G000012885	s__Pelobacter carbinolicus
G000012925	s__Geobacter metallireducens
G000012965	s__Sulfurimonas denitrificans
G000012985	s__Hahella chejuensis
G000013025	s__Hyphomonas neptunium
G000013045	g__Salinibacter
G000013085	s__Rhodospirillum rubrum
G000013105	s__Moorella thermoacetica
G000013145	s__Ehrlichia chaffeensis
G000013165	s__Neorickettsia sennetsu
G000013205	s__Synechococcus sp. JA-3-3Ab
G000013225	s__Synechococcus sp. JA-2-3B'a(2-13)
G000013285	s__Clostridium perfringens
G000013325	s__Novosphingobium aromaticivorans
G000013345	s__Frankia casuarinae
G000013405	s__Syntrophus aciditrophicus
G000013445	f__Methanospirillaceae
G000013565	s__Jannaschia sp. CCS1
G000013605	s__Rhodoferax ferrireducens
G000013625	s__Janthinobacterium sp. Marseille
G000013645	s__Paraburkholderia xenovorans
G000013665	s__Saccharophagus degradans
G000013705	s__Methylobacillus flagellatus
G000013725	s__Methanococcoides burtonii
G000013765	s__Shewanella denitrificans
G000013865	s__Polaromonas sp. JS666
G000013885	s__Nitrobacter hamburgensis
G000013945	s__Leptospira borgpetersenii
G000013985	s__Sphingopyxis alaskensis
G000014005	g__Ca. Koribacter
G000014025	s__Arcobacter butzleri
G000014045	s__Roseobacter denitrificans
G000014125	s__Clostridium novyi
G000014145	s__Cytophaga hutchinsonii
G000014205	s__Streptococcus sanguinis
G000014225	s__Pseudoalteromonas atlantica
G000014245	s__Chelativorans sp. BNC1
G000014265	s__Trichodesmium erythraeum
G000014285	g__Granulibacter
G000014425	s__Lactobacillus gasseri
G000014465	s__Lactobacillus brevis
G000014505	s__Pediococcus pentosaceus
G000014565	s__Rhodococcus jostii
G000014585	s__Synechococcus sp. CC9311
G000014705	s__Shewanella frigidimarina
G000014745	g__Maricaulis
G000014765	s__Nitrosomonas eutropha
G000014785	g__Alkalilimnicola
G000014805	s__Aeromonas hydrophila
G000014865	o__Magnetococcales
G000014885	s__Shewanella piezotolerans
G000014905	f__Solibacteraceae
G000014925	g__Paenarthrobacter
G000014945	s__Methanosaeta thermophila
G000014965	s__Syntrophobacter fumaroxidans
G000015025	o__Acidothermales
G000015045	s__Pelobacter propionicus
G000015105	g__Ca. Ruthia
G000015145	g__Hyperthermus
G000015205	s__Pyrobaculum islandicum
G000015225	s__Thermofilum pendens
G000015245	s__Shewanella amazonensis
G000015265	s__Nocardioides sp. JS614
G000015285	s__Psychromonas ingrahamii
G000015345	g__Dichelobacter
G000015505	s__Polaromonas naphthalenivorans
G000015565	s__Verminephrobacter eiseniae
G000015585	g__Halorhodospira
G000015725	g__Methylibium
G000015765	s__Methanocorpusculum labreanum
G000015805	s__Pyrobaculum calidifontis
G000015865	s__Ruminiclostridium thermocellum
G000015885	s__Actinobacillus pleuropneumoniae
G000015945	s__Staphylothermus marinus
G000016065	s__Shewanella loihica
G000016085	s__Chlorobium phaeovibrioides
G000016165	s__Desulfotomaculum reducens
G000016185	s__Rhodospirillum centenum
G000016285	s__Agrobacterium vitis
G000016325	s__Enterobacter sp. 638
G000016345	s__Polynucleobacter asymbioticus
G000016385	s__Pyrobaculum arsenaticum
G000016425	s__Salinispora tropica
G000016505	s__Clostridium kluyveri
G000016545	s__Caldicellulosiruptor saccharolyticus
G000016565	s__Pseudomonas mendocina
G000016665	s__Roseiflexus sp. RS-1
G000016745	s__Geobacter uraniireducens
G000016785	s__Thermotoga petrophila
G000016825	s__Lactobacillus reuteri
G000016885	s__Psychrobacter sp. PRwf-1
G000016905	s__Thermosipho melanesiensis
G000016985	s__Alkaliphilus metalliredigens
G000017005	s__Streptococcus gordonii
G000017145	s__Sinorhizobium medicae
G000017165	s__Methanococcus vannielii
G000017185	s__Methanococcus aeolicus
G000017245	s__Actinobacillus succinogenes
G000017265	s__Phenylobacterium zucineum
G000017305	g__Kineococcus
G000017425	s__Bacillus cytotoxicus
G000017465	s__Campylobacter curvus
G000017505	s__Anaeromyxobacter sp. Fw109-5
G000017545	s__Fervidobacterium nodosum
G000017565	g__Parvibaculum
G000017585	s__Campylobacter hominis
G000017625	s__Methanoregula boonei
G000017645	s__Xanthobacter autotrophicus
G000017685	s__Leptospira biflexa
G000017705	s__Vibrio campbellii
G000017805	s__Roseiflexus castenholzii
G000017845	s__Cyanothece sp. ATCC 51142
G000017945	s__Ignicoccus hospitalis
G000018025	s__Shewanella sediminis
G000018105	s__Acaryochloris marina
G000018145	g__Dinoroseobacter
G000018205	s__Rickettsia akari
G000018265	s__Salinispora arenicola
G000018285	s__Shewanella pealeana
G000018305	s__Caldivirga maquilingensis
G000018325	s__Alkaliphilus oremlandii
G000018365	s__Thermococcus onnurineus
G000018405	g__Desulfococcus
G000018425	g__Ca. Desulforudis
G000018465	s__Nitrosopumilus maritimus
G000018545	s__Sinorhizobium fredii
G000018565	s__Herpetosiphon aurantiacus
G000018665	s__Delftia acidovorans
G000018685	s__Lachnoclostridium phytofermentans
G000018785	s__Acholeplasma laidlawii
G000018865	s__Chloroflexus aurantiacus
G000018885	g__Renibacterium
G000019165	s__Heliobacterium modesticaldum
G000019205	s__Campylobacter lari
G000019225	s__Cellvibrio japonicus
G000019285	s__Francisella philomiragia
G000019365	s__Methylobacterium sp. 4-46
G000019405	s__Histophilus somni
G000019485	s__Synechococcus sp. PCC 7002
G000019525	s__Shewanella woodyi
G000019605	p__Ca. Korarchaeota
G000019665	s__Methylacidiphilum infernorum
G000019725	s__Methylobacterium radiotolerans
G000019745	s__Polynucleobacter necessarius
G000019785	g__Leptothrix
G000019805	s__Pyrobaculum neutrophilum
G000019845	s__Beijerinckia indica
G000019905	s__Exiguobacterium sibiricum
G000019965	g__Opitutus
G000020005	o__Natranaerobiales
G000020025	s__Nostoc punctiforme
G000020045	s__Paraburkholderia phymatum
G000020145	c__Elusimicrobia
G000020205	s__Ralstonia pickettii
G000020365	g__Desulfobacterium
G000020385	s__Geobacter lovleyi
G000020465	s__Chlorobium limicola
G000020485	s__Halothermothrix orenii
G000020505	s__Chlorobaculum parvum
G000020525	g__Chloroherpeton
G000020565	g__Ca. Amoebophilus
G000020605	s__[Eubacterium] rectale
G000020625	g__Prosthecochloris
G000020645	s__Pelodictyon phaeoclathratiforme
G000020685	s__Deinococcus deserti
G000020725	s__Geobacter bemidjiensis
G000020785	g__Hydrogenobaculum
G000020905	s__Desulfurococcus kamchatkensis
G000020945	s__Coprothermobacter proteolyticus
G000020965	s__Dictyoglomus thermophilum
G000020985	s__Thermodesulfovibrio yellowstonii
G000021025	g__Laribacter
G000021045	s__Azotobacter vinelandii
G000021285	s__Thermosipho africanus
G000021325	g__Gluconacetobacter
G000021545	s__Sulfurihydrogenibium azorense
G000021565	s__Persephonella marina
G000021645	s__Dictyoglomus turgidum
G000021685	f__Thermomicrobiaceae
G000021705	g__Ca. Hamiltonella
G000021725	g__Nautilia
G000021745	g__Methylocella
G000021805	f__Cyanothecaceae
G000021825	s__Cyanothece sp. PCC 7424
G000021865	s__Rhodobacter capsulatus
G000021905	s__Desulfatibacillum alkenivorans
G000021945	s__Chloroflexus aggregans
G000021965	g__Methanosphaerula
G000021985	s__Thioalkalivibrio sulfidiphilus
G000022045	s__Cyanothece sp. PCC 7425
G000022065	s__[Clostridium] cellulolyticum
G000022085	s__Methylobacterium nodulans
G000022145	s__Anaeromyxobacter dehalogenans
G000022185	s__Chloroflexus sp. Y-400-fl
G000022205	s__Halorubrum lacusprofundi
G000022265	s__Geobacter daltonii
G000022305	s__Acidovorax ebreus
G000022325	s__Caldicellulosiruptor bescii
G000022365	s__Thermococcus gammatolerans
G000022525	s__Neorickettsia risticii
G000022565	s__Acidobacterium capsulatum
G000022605	s__Blattabacterium sp. (Blattella germanica)
G000022725	s__Bartonella grahamii
G000022885	g__Edwardsiella
G000022965	s__Bifidobacterium animalis
G000023065	g__Tolumonas
G000023105	f__Beutenbergiaceae
G000023125	s__Dyadobacter fermentans
G000023145	s__Corynebacterium kroppenstedtii
G000023205	g__Micrococcus
G000023225	s__Desulfomicrobium baculatum
G000023245	g__Actinosynnema
G000023265	s__Acidimicrobium ferrooxidans
G000023285	s__Capnocytophaga ochracea
G000023325	s__Kosmotoga olearia
G000023405	s__Brachybacterium faecium
G000023445	s__Desulfovibrio salexigens
G000023465	g__Zunongwangia
G000023585	s__Paenibacillus sp. JDR-2
G000023605	g__Pectobacterium
G000023705	s__Methylotenera mobilis
G000023725	s__Flavobacteriaceae bacterium 3519-10
G000023745	g__Methylovorus
G000023785	s__Hirschia baltica
G000023845	s__Cryptobacterium curtum
G000023865	s__Saccharomonospora viridis
G000023885	s__Slackia heliotrinireducens
G000023905	s__Leptotrichia buccalis
G000023925	g__Kytococcus
G000023945	s__Halorhabdus utahensis
G000023965	g__Halomicrobium
G000023985	s__Methanocaldococcus fervens
G000024005	s__Chitinophaga pinensis
G000024025	f__Catenulisporaceae
G000024065	s__Jonesia denitrificans
G000024085	s__Kangiella koreensis
G000024125	s__Robiginitalea biformata
G000024165	g__Ca. Accumulibacter
G000024185	s__Methanobrevibacter ruminantium
G000024205	s__Desulfotomaculum acetoxidans
G000024265	s__Eggerthella lenta
G000024285	s__Alicyclobacillus acidocaldarius
G000024325	g__Desulfohalobium
G000024345	s__Kribbella flavida
G000024365	s__Nakamurella multipartita
G000024385	g__Thermomonospora
G000024405	g__Sebaldella
G000024465	g__Ca. Puniceispirillum
G000024505	s__Anaplasma centrale
G000024525	s__Spirosoma linguale
G000024545	g__Stackebrandtia
G000024565	s__Streptobacillus moniliformis
G000024605	g__Ammonifex
G000024625	s__Methanocaldococcus vulcanius
G000024725	s__Nitrosococcus halophilus
G000024765	s__Halothiobacillus neapolitanus
G000024785	s__Gordonia bronchialis
G000024805	f__Kofleriaceae
G000024845	g__Rhodothermus
G000024865	s__Streptosporangium roseum
G000024885	s__Sulfurospirillum deleyianum
G000024905	s__Thermanaerovibrio acidaminovorans
G000024925	g__Sanguibacter
G000024965	g__Xylanimonas
G000024985	g__Sphaerobacter
G000025005	g__Thermobaculum
G000025085	s__Staphylococcus lugdunensis
G000025105	s__Thermotoga naphthophila
G000025185	s__Pirellula staleyi
G000025225	g__Mageeibacillus
G000025285	s__Archaeoglobus profundus
G000025325	s__Haloterrigena turkmenica
G000025345	g__Geodermatophilus
G000025405	s__Pantoea ananatis
G000025485	g__Allochromatium
G000025505	g__Ferroglobus
G000025525	s__Methanocaldococcus sp. FS406-22
G000025565	s__Enterobacter cloacae
G000025605	s__Thermocrinis albus
G000025625	s__Natrialba magadii
G000025645	s__Thermoanaerobacter italicus
G000025665	s__Aciduliprofundum boonei
G000025685	s__Haloferax volcanii
G000025705	s__Sideroxydans lithotrophicus
G000025725	g__Denitrovibrio
G000025865	s__Methanohalophilus mahii
G000025885	s__Aminobacterium colombiense
G000025905	s__Coraliomargarita akajimensis
G000025945	g__Desulfotalea
G000025965	g__Aromatoleum
G000026005	s__Ehrlichia ruminantium
G000026045	s__Natronomonas pharaonis
G000026125	s__Herminiimonas arsenicoxydans
G000026205	s__Ca. Phytoplasma mali
G000026405	s__Leuconostoc citreum
G000027145	s__Listeria seeligeri
G000027165	s__Streptococcus mitis
G000027225	s__Xenorhabdus bovienii
G000043285	s__Ca. Blochmannia floridanus
G000055785	s__Chromohalobacter salexigens
G000056065	s__Lactobacillus delbrueckii
G000058485	s__Frankia alni
G000060345	s__Gramella forsetii
G000062885	s__Saccharopolyspora erythraea
G000063445	s__Methanocella arvoryzae
G000063505	s__Synechococcus sp. WH 7803
G000063525	s__Synechococcus sp. RCC307
G000064305	s__Flavobacterium psychrophilum
G000067165	g__Sorangium
G000067205	s__Bordetella petrii
G000069025	s__Halobacterium salinarum
G000069185	s__Mycobacterium abscessus
G000069225	g__Clavibacter
G000069785	s__Cupriavidus taiwanensis
G000069925	s__Ca. Phytoplasma australiense
G000069965	g__Proteus
G000073005	s__Wolbachia endosymbiont of Culex quinquefasciatus
G000091125	s__Sphingobium japonicum
G000091165	s__Ca. Methylomirabilis oxyfera
G000091305	s__Streptomyces scabiei
G000091325	s__Shewanella violacea
G000091465	s__Vibrio tasmaniensis
G000091545	s__Thermus thermophilus
G000091565	s__Erwinia amylovora
G000091665	s__Methanocaldococcus jannaschii
G000091765	s__Lactobacillus crispatus
G000091985	s__Helicobacter mustelae
G000092025	s__Agrobacterium fabrum
G000092105	s__Planctopirus limnophila
G000092125	s__Meiothermus silvanus
G000092185	g__Thermosphaera
G000092205	g__Desulfurivibrio
G000092225	s__Tsukamurella paurometabola
G000092245	s__Arcobacter nitrofigilis
G000092305	s__Methanocaldococcus infernus
G000092365	s__Arcanobacterium haemolyticum
G000092385	s__Streptomyces bingchenggensis
G000092405	g__Syntrophothermus
G000092425	g__Truepera
G000092465	s__Staphylothermus hellenicus
G000092505	s__Leuconostoc kimchii
G000092645	g__Thermobispora
G000092825	s__Segniliparus rotundus
G000092845	s__Brachyspira murdochii
G000092905	g__Kyrpidia
G000092925	g__Starkeya
G000092985	s__Nocardiopsis dassonvillei
G000093065	s__Ca. Riesia pediculicola
G000093085	s__[Bacillus] selenitireducens
G000093165	s__Blattabacterium sp. (Periplaneta americana)
G000143085	s__Nitrosococcus watsonii
G000143145	s__Hyphomicrobium denitrificans
G000143165	s__Dehalogenimonas lykanthroporepellens
G000143625	g__Ca. Regiella
G000143765	s__Sphingobacterium spiritivorum
G000143825	s__Corynebacterium genitalium
G000143965	g__Desulfarculus
G000143985	s__Sediminispirochaeta smaragdinae
G000144405	s__Prevotella melaninogenica
G000144605	s__Brevundimonas subvibrioides
G000144645	g__Thermosediminibacter
G000144695	s__Acetohalobium arabaticum
G000144915	s__Acidilobus saccharovorans
G000145215	s__Caldicellulosiruptor obsidiansis
G000145235	s__Micromonospora aurantiaca
G000145255	g__Gallionella
G000145275	s__Clostridium cellulovorans
G000145295	s__Methanothermobacter marburgensis
G000145615	s__Thermoanaerobacterium thermosaccharolyticum
G000145985	g__Ignisphaera
G000146065	s__Ca. Cloacimonas acidaminovorans
G000146165	s__Shewanella oneidensis
G000146185	s__[Eubacterium] eligens
G000146345	s__Peptoniphilus duerdenii
G000146675	s__Prevotella marshii
G000146855	s__[Eubacterium] yurii
G000147055	s__Dickeya dadantii
G000147335	s__Cyanothece sp. PCC 7822
G000147355	s__Sulfurimonas autotrophica
G000147675	s__Peptostreptococcus stomatis
G000147695	s__Thermoanaerobacter wiegelii
G000147715	g__Mesotoga
G000147815	s__Streptomyces violaceusniger
G000147835	s__Sphingobium chlorophenolicum
G000147875	s__Methanolacinia petrolearia
G000148645	s__Ferrimonas balearica
G000148725	g__Roseibium
G000148995	s__Listeria grayi
G000151205	s__Thermococcus sp. AM4
G000152145	g__Oscillochloris
G000152245	s__Eubacterium limosum
G000152265	g__Ferroplasma
G000152625	s__Roseovarius nubinhibens
G000152705	s__Janibacter sp. HTCC2649
G000152725	s__Pseudooceanicola batsensis
G000152745	s__Oceanicaulis sp. HTCC2633
G000152805	g__Maritimibacter
G000152825	s__Parvularcula bermudensis
G000152845	s__Roseovarius sp. 217
G000152865	s__Erythrobacter sp. NAP1
G000152885	s__Idiomarina baltica
G000152985	s__Leeuwenhoekiella blandensis
G000153025	s__Marinomonas sp. MED121
G000153045	s__Synechococcus sp. WH 5701
G000153065	s__Synechococcus sp. RS9917
G000153105	g__Blastopirellula
G000153125	g__Congregibacter
G000153145	s__marine actinobacterium PHSC20C1
G000153165	s__Maribacter sp. HTCC2170
G000153185	g__Reinekea
G000153205	g__Nitrococcus
G000153225	s__Polaribacter irgensii
G000153245	s__Pseudoalteromonas tunicata
G000153285	s__Synechococcus sp. WH 7805
G000153305	s__Oceanicola granulosus
G000153345	s__Neptuniibacter caesariensis
G000153385	s__Flavobacteria bacterium BBFL7
G000153405	s__Psychromonas sp. CNPT3
G000153445	s__gamma proteobacterium HTCC2207
G000153465	s__Aurantimonas manganoxydans
G000153485	s__Psychroflexus torquis
G000153565	g__Bermanella
G000153705	s__Fulvimarina pelagi
G000153725	s__Pelagibaca bermudensis
G000153745	s__Rhodobacterales bacterium HTCC2255
G000153765	o__Mariprofundales
G000153805	s__Synechococcus sp. BL107
G000153825	s__Synechococcus sp. RS9916
G000153885	s__Eubacterium ventriosum
G000153925	s__[Ruminococcus] torques
G000154065	s__Dorea longicatena
G000154205	s__Bacteroides uniformis
G000154225	s__Actinomyces odontolyticus
G000154245	s__Clostridium sp. L2-50
G000154285	s__[Eubacterium] dolichum
G000154305	s__Anaerostipes caccae
G000154345	s__[Clostridium] leptum
G000154425	s__Coprococcus eutactus
G000154445	g__Intestinibacter
G000154465	s__Alistipes putredinis
G000154485	s__Erysipelatoclostridium ramosum
G000154505	s__[Clostridium] scindens
G000154525	s__Bacteroides stercoris
G000154565	s__Anaerotruncus colihominis
G000154705	s__Hoeflea phototrophica
G000154725	s__Kordia algicida
G000154785	s__Roseobacter litoralis
G000154805	s__[Clostridium] spiroforme
G000154825	g__Anaerofustis
G000154845	s__Bacteroides coprocola
G000155205	s__Ruminococcus lactaris
G000155435	s__Clostridiales bacterium 1_7_47FAA
G000155495	s__Helicobacter pullorum
G000155555	s__Coleofasciculus chthonoplastes
G000155595	s__Synechococcus sp. PCC 7335
G000155635	s__Cyanobium sp. PCC 7001
G000155695	s__Verrucomicrobiae bacterium DG1235
G000155715	s__gamma proteobacterium HTCC5015
G000155735	s__Octadecabacter arcticus
G000155775	s__Glaciecola sp. HTCC2999
G000155855	s__[Bacteroides] pectinophilus
G000155875	s__Coprococcus comes
G000155955	s__Mitsuokella multacida
G000156035	s__Tyzzerella nexilis
G000156055	s__[Clostridium] hiranonis
G000156115	s__Rhodobacteraceae bacterium HTCC2083
G000156175	s__Collinsella intestinalis
G000156215	s__Collinsella stercoris
G000156295	s__marine gamma proteobacterium HTCC2148
G000156335	s__Roseobacter sp. GAI101
G000156435	s__Streptomyces ghanaensis
G000156515	s__[Clostridium] hylemonae
G000156535	s__Roseburia intestinalis
G000156575	s__Anaerococcus lactolyticus
G000156595	s__Corynebacterium glucuronolyticum
G000156655	s__Holdemanella biformis
G000156675	s__Blautia hansenii
G000157355	s__Enterococcus casseliflavus
G000157895	s__Mycobacterium kansasii
G000157915	s__Bacteroides coprophilus
G000157935	s__Prevotella copri
G000157955	s__Subdoligranulum variabile
G000157975	s__Blautia hydrogenotrophica
G000157995	s__Holdemania filiformis
G000158075	s__[Clostridium] asparagiforme
G000158095	s__Labrenzia alexandrii
G000158155	s__gamma proteobacterium NOR5-3
G000158175	g__Luminiphilus
G000158195	s__Fusobacterium mortiferum
G000158215	s__Fusobacterium periodonticum
G000158315	s__Fusobacterium ulcerans
G000158455	s__Helicobacter winghamensis
G000158615	g__Eikenella
G000158655	s__[Clostridium] methylpentosum
G000158915	s__Streptomyces himastatinicus
G000158935	s__Streptomyces lividans
G000158955	s__Streptomyces viridochromogenes
G000159015	s__Actinomyces coleocanis
G000159035	s__Actinomyces urogenitalis
G000159055	s__Clostridium sp. M62/1
G000159075	s__Bacteroides sp. D2
G000159315	s__Lactobacillus hilgardii
G000159435	s__Lactobacillus vaginalis
G000159635	s__Corynebacterium lipophiloflavum
G000159995	s__Alloprevotella tannerae
G000160035	g__Catonella
G000160055	s__Dialister invisus
G000160075	g__Abiotrophia
G000160115	g__Shuttleworthia
G000160135	s__Oribacterium sp. oral taxon 078
G000160435	s__Kingella oralis
G000160455	s__Acetomicrobium hydrogeniformans
G000160535	s__Prevotella bergensis
G000160555	s__Selenomonas noxia
G000160575	s__Weissella paramesenteroides
G000160635	s__Oribacterium sinus
G000160655	s__Cardiobacterium hominis
G000160675	s__Granulicatella adiacens
G000160695	s__Selenomonas flueggei
G000160775	s__Aeromicrobium marinum
G000160875	s__Lactobacillus iners
G000161755	s__Citreicella sp. SE45
G000161775	s__Ruegeria lacuscaerulensis
G000161835	g__Thalassobium
G000161935	s__Lactobacillus coleohominis
G000161975	s__[Eubacterium] saphenum
G000162015	s__Faecalibacterium prausnitzii
G000162475	s__Granulicatella elegans
G000162575	s__Helicobacter canadensis
G000162755	s__Legionella drancourtii
G000162875	s__Slackia exigua
G000162895	s__Actinomyces sp. oral taxon 848
G000163515	s__Erysipelotrichaceae bacterium 5_2_54FAA
G000163555	s__alpha proteobacterium HIMB114
G000163595	s__Serratia odorifera
G000163695	s__Bacteroidetes oral taxon 274
G000163775	s__Simonsiella muelleri
G000163895	g__Filifactor
G000164135	s__Mycobacterium parascrofulaceum
G000164395	s__Komagataeibacter hansenii
G000164635	s__Roseomonas cervicalis
G000164675	s__Streptococcus parasanguinis
G000164865	s__Enterobacter lignolyticus
G000165465	s__Halanaerobium praevalens
G000165485	g__Stigmatella
G000165505	g__Ilyobacter
G000165675	s__Leuconostoc fallax
G000165715	g__Rubinisphaera
G000165735	s__Megasphaera micronuciformis
G000165795	g__Aminomonas
G000165905	s__Bifidobacterium bifidum
G000166055	g__Rhodomicrobium
G000166095	f__Methanothermaceae
G000166135	s__Frankia inefficax
G000166195	s__Mucilaginibacter paludis
G000166275	s__Algoriphagus machipongonensis
G000166295	s__Marinobacter adhaerens
G000166355	s__Caldicellulosiruptor hydrothermalis
G000166395	s__Leadbetterella byssophila
G000166415	s__Halanaerobium hydrogeniformans
G000166695	s__Caldicellulosiruptor kristjanssonii
G000167355	s__Desulfuromonas acetoxidans
G000168715	s__Chlorobium ferrooxidans
G000168735	s__Ca. Endoriftia persephone
G000168975	s__Labrenzia aggregata
G000168995	s__Methylophilales bacterium HTCC2181
G000169075	s__marine gamma proteobacterium HTCC2143
G000169115	s__marine gamma proteobacterium HTCC2080
G000169155	g__Thermosinus
G000169175	g__Microscilla
G000169235	s__Dorea formicigenerans
G000169255	g__Pseudoflavonifractor
G000169335	s__Cyanothece sp. CCY0110
G000169375	s__Marinobacter sp. ELB17
G000169395	s__Rhodobacteraceae bacterium HTCC2150
G000169415	g__Sagittula
G000169435	s__Roseobacter sp. CCS2
G000169455	s__Roseobacter sp. SK209-2-6
G000170715	s__Beggiatoa sp. PS
G000170735	g__Caminibacter
G000170755	o__Lentisphaerales
G000170795	s__Pedobacter sp. BAL39
G000170875	s__Roseobacter sp. AzwK-3b
G000170895	g__Plesiocystis
G000170915	g__Limnobacter
G000171235	g__Diplosphaera
G000171335	s__Epulopiscium sp. 'N.t. morphotype B'
G000171775	g__Gemmata
G000171835	s__alpha proteobacterium BAL199
G000171875	s__Flavobacteriales bacterium ALC-1
G000172075	s__Shewanella benthica
G000172095	s__Oceanibulbus indolifex
G000172155	f__Verrucomicrobiaceae
G000172555	g__Pedosphaera
G000172975	s__Dethiosulfovibrio peptidovorans
G000172995	s__Halogeometricum borinquense
G000173075	o__Chthoniobacterales
G000173095	s__Flavobacteria bacterium MS024-2A
G000173115	s__Flavobacteria bacterium MS024-3C
G000173355	s__Anaerococcus hydrogenalis
G000173555	s__Arthrospira maxima
G000173615	s__Sulfurihydrogenibium yellowstonense
G000173655	s__Corynebacterium amycolatum
G000173675	s__Capnocytophaga sputigena
G000173795	s__Catenibacterium mitsuokai
G000173815	g__Marvinbryantia
G000173895	s__Neisseria cinerea
G000173915	s__Gemella haemolysans
G000173975	s__[Eubacterium] hallii
G000174195	s__Roseburia inulinivorans
G000174355	g__Pseudogulbenkiania
G000174395	s__Enterococcus faecium
G000174415	g__Dethiobacter
G000174435	g__Desulfonatronospira
G000174755	s__Capnocytophaga gingivalis
G000175095	s__Nitrosomonas sp. AL212
G000175215	s__Asticcacaulis excentricus
G000175375	s__Corynebacterium matruchotii
G000175575	s__Acidithiobacillus caldus
G000176015	s__Rhodobacter sp. SW2
G000176155	s__Vibrio metschnikovii
G000176235	s__Vibrio orientalis
G000176355	s__Citromicrobium bathyomarinum
G000176795	s__Photobacterium damselae
