DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	size
G000015805	2009313
G000015825	2478101
G000015865	3843301
G000015885	2274482
G000015945	1570485
G000015965	1641879
G000016065	4602594
G000016085	1966858
G000016165	3608104
G000016185	4355543
G000016285	6320946
G000016325	4676461
G000016345	2159490
G000016385	2121076
G000016405	4557127
G000016425	5183331
G000016505	4023800
G000016525	1853160
G000016545	2970275
G000016565	5072807
G000016605	2191517
G000016645	6096872
G000016665	5801598
G000016705	1341892
G000016745	5136364
G000016765	5915246
G000016785	1823511
G000016825	1999618
G000016885	2995049
G000016905	1915238
G000016985	4929566
G000017005	2196662
G000017045	3760560
G000017105	2212937
G000017145	6817576
G000017165	1720048
G000017185	1569500
G000017225	1772694
G000017245	2319663
G000017265	4379231
G000017305	4956672
G000017405	5205777
G000017425	4094159
G000017465	1971270
G000017505	5277990
G000017545	1948941
G000017565	3914745
G000017585	1714951
G000017625	2542943
G000017645	5625098
G000017685	3951448
G000017705	6058377
G000017785	1890909
G000017805	5723298
G000017845	5460377
G000017865	2135342
G000017945	1297538
G000018025	5517674
G000018105	8361599
G000018145	4417868
G000018205	1231060
G000018245	1528980
G000018265	5786361
G000018285	5174581
G000018305	2077567
G000018325	3123558
G000018365	1847607
G000018405	3944167
G000018425	2349476
G000018465	1645259
G000018485	1744193
G000018545	6891900
G000018565	6785430
G000018605	2169548
G000018665	6767514
G000018685	4847594
G000018785	1496992
G000018865	5258541
G000018885	3155250
G000018945	1884562
G000019165	3075407
G000019205	1571661
G000019225	4576573
G000019285	2049711
G000019365	7737025
G000019405	2263857
G000019485	3409935
G000019525	5935403
G000019605	1590757
G000019665	2287145
G000019685	1574881
G000019705	1242163
G000019725	6899110
G000019745	1560469
G000019785	4909403
G000019805	1769823
G000019845	4418616
G000019905	3040786
G000019945	5848997
G000019965	5957605
G000020005	3191453
G000020025	9059191
G000020045	8676562
G000020145	1643562
G000020165	3847969
G000020205	5325729
G000020225	2664102
G000020305	1202435
G000020365	5657782
G000020385	3994874
G000020465	2763181
G000020485	2578146
G000020505	2289249
G000020525	3293456
G000020545	2736403
G000020565	1884364
G000020605	3449685
G000020625	2579695
G000020645	3018238
G000020685	3855329
G000020725	4615150
G000020785	1559514
G000020905	1365223
G000020945	1424912
G000020965	1959987
G000020985	2003803
G000021025	3169329
G000021045	5365318
G000021285	2016657
G000021325	3914947
G000021385	4040304
G000021485	2982397
G000021545	1640877
G000021565	1983966
G000021645	1855560
G000021685	2920744
G000021705	2169363
G000021725	1676444
G000021745	4305430
G000021805	4787694
G000021825	6554169
G000021865	3871920
G000021885	2269156
G000021905	6517073
G000021925	5279134
G000021945	4684931
G000021965	2922917
G000021985	3464554
G000022005	4042929
G000022025	4980870
G000022045	5786110
G000022065	4068724
G000022085	8839022
G000022125	2873437
G000022145	5029329
G000022185	5268950
G000022205	3692576
G000022265	4304501
G000022305	3796573
G000022325	2931662
G000022365	2045438
G000022385	2736272
G000022405	2608832
G000022425	2692402
G000022445	2586647
G000022465	2702058
G000022485	2854410
G000022525	879977
G000022545	1845800
G000022565	4127356
G000022605	640935
G000022725	2369520
G000022885	3812301
G000022905	2819226
G000022965	1938483
G000023025	5193164
G000023065	3471292
G000023105	4669183
G000023125	6967790
G000023145	2446804
G000023205	2501097
G000023225	3942657
G000023245	8248144
G000023265	2158157
G000023285	2612925
G000023325	2302126
G000023405	3614992
G000023445	4289847
G000023465	5128187
G000023585	7184930
G000023605	4862913
G000023705	2547570
G000023725	2768102
G000023745	3082007
G000023765	1227328
G000023785	3540114
G000023825	5167383
G000023845	1617804
G000023865	4308349
G000023885	3165038
G000023905	2465610
G000023925	2785024
G000023945	3116795
G000023965	3332349
G000023985	1507251
G000024005	9127347
G000024025	10467782
G000024065	2749646
G000024085	2852073
G000024105	1998633
G000024125	3530383
G000024145	1248550
G000024165	5306133
G000024185	2937203
G000024205	4545624
G000024225	1543805
G000024265	3632260
G000024285	3205686
G000024305	2748647
G000024325	2909567
G000024345	7579488
G000024365	6060298
G000024385	5639016
G000024405	4486650
G000024465	2753527
G000024505	1206806
G000024525	8491258
G000024545	6841557
G000024565	1673280
G000024605	2157067
G000024625	1761737
G000024665	3842635
G000024725	4145260
G000024745	2668974
G000024765	2582886
G000024785	5290012
G000024805	9446314
G000024845	3386737
G000024865	10369518
G000024885	2306351
G000024905	1848474
G000024925	4253413
G000024945	2132142
G000024965	3831380
G000024985	3993764
G000025005	3101581
G000025025	1413462
G000025085	2658366
G000025105	1809823
G000025125	1443806
G000025185	6196199
G000025205	1617545
G000025225	1809746
G000025265	6359369
G000025285	1563423
G000025305	2329769
G000025325	5440782
G000025345	5322497
G000025405	4703373
G000025485	3669074
G000025505	2196266
G000025525	1773136
G000025565	5598796
G000025585	1360154
G000025605	1500577
G000025625	4443643
G000025645	2451061
G000025665	1486778
G000025685	4012900
G000025705	3003656
G000025725	3222077
G000025865	2012424
G000025885	1980592
G000025905	3750771
G000025925	3619559
G000025945	3659634
G000025965	4727255
G000026005	1516355
G000026045	2749696
G000026065	1884661
G000026105	5888780
G000026125	3424307
G000026205	601943
G000026325	5358200
G000026345	5132068
G000026405	1896614
G000026745	2170808
G000027145	2797636
G000027165	2146611
G000027225	4225498
G000027305	1830138
G000043285	705557
G000046705	1931047
G000055785	3696649
G000055945	1719014
G000056065	1864998
G000058485	7497934
G000060345	3798465
G000062885	8212805
G000063445	3179916
G000063505	2366980
G000063525	2224914
G000063545	2127051
G000063585	3903260
G000064305	2860382
G000067165	13033779
G000067205	5287950
G000068585	1038842
G000069025	2668776
G000069185	5090491
G000069225	3403786
G000069785	6476522
G000069925	879959
G000069945	2369219
G000069965	4099895
G000072485	4851126
G000073005	1482455
G000090965	422434
G000091085	1234385
G000091125	4424862
G000091165	2752854
G000091305	10148695
G000091325	4962103
G000091465	4974818
G000091545	2116056
G000091565	3833832
G000091665	1739927
G000091765	2043161
G000091785	4149158
G000091985	1578097
G000092025	5674258
G000092045	6530228
G000092105	5460085
G000092125	3721669
G000092185	1316595
G000092205	3097763
G000092225	4479724
G000092245	3192235
G000092265	1863286
G000092305	1328194
G000092365	1986154
G000092385	11936683
G000092405	2405559
G000092425	3260398
G000092465	1580347
G000092505	2101787
G000092565	4698134
G000092645	4189976
G000092785	2131905
G000092825	3157527
G000092845	3241804
G000092865	4123179
G000092905	3384766
G000092925	4765023
G000092985	6543312
G000093025	3059871
G000093065	582127
G000093085	3592487
G000093165	640442
G000143085	3373286
G000143145	3638969
G000143165	1686510
G000143625	2067400
G000143705	2337913
G000143765	5093512
G000143825	2349953
G000143845	2051896
G000143965	3655731
G000143985	4653970
G000144405	3168282
G000144605	3445263
G000144625	4662871
G000144645	2280035
G000144675	2328208
G000144695	2469596
G000144735	2503840
G000144915	1496453
G000144935	2335113
G000145035	4404886
G000145215	2532343
G000145235	7025559
G000145255	3162471
G000145275	5262222
G000145295	1639135
G000145515	2505472
G000145555	2476421
G000145615	2785752
G000145985	1875953
G000146065	2246820
G000146165	5131424
G000146185	2831389
G000146285	2152970
G000146345	2124844
G000146505	3843004
G000146675	2559358
G000146855	2511030
G000146895	2533633
G000147055	4922802
G000147075	2472645
G000147335	7841948
G000147355	2153198
G000147675	1988044
G000147695	2785056
G000147715	2975953
G000147815	11138313
G000147835	4573221
G000147875	2843290
G000148385	2374137
G000148485	2384880
G000148645	4279159
G000148725	5696886
G000148995	2598321
G000151105	2064237
G000151205	2086428
G000152065	2337730
G000152145	4373075
G000152245	4316707
G000152265	1935211
G000152625	3676244
G000152705	4235068
G000152725	4440389
G000152745	3172051
G000152805	4536113
G000152825	2902643
G000152845	4770736
G000152865	3266173
G000152885	2770272
G000152985	4244565
G000153025	5153226
G000153045	3280236
G000153065	2584918
G000153105	6663851
G000153125	4351117
G000153145	2772187
G000153165	3868304
G000153185	4526761
G000153205	3623681
G000153225	2763458
G000153245	4994813
G000153285	2627046
G000153305	4053139
G000153345	3924755
G000153385	3103424
G000153405	3052410
G000153445	2634266
G000153465	4326814
G000153485	4321832
G000153565	3552236
G000153605	4033192
G000153705	3806238
G000153725	5482983
G000153745	2296803
G000153765	2992730
G000153805	2285034
G000153825	2664873
G000153845	1887952
G000153885	2870795
G000153905	3625508
G000153925	2741706
G000154065	2915433
G000154145	1866493
G000154205	4719097
G000154225	2393958
G000154245	2954616
G000154285	2191053
G000154305	3606936
G000154345	3270209
G000154425	3102987
G000154445	2972256
G000154465	2550678
G000154485	3235195
G000154505	3622605
G000154525	4009829
G000154565	3719688
G000154705	4468465
G000154725	5033129
G000154785	4745450
G000154805	2507885
G000154825	2284703
G000154845	4300117
G000155205	2731235
G000155435	6548966
G000155495	1951667
G000155515	3025352
G000155555	8679041
G000155595	5973558
G000155635	2834252
G000155695	5775745
G000155715	2625605
G000155735	5478249
G000155775	2560882
G000155855	3028326
G000155875	3242215
G000155895	1456888
G000155915	1746219
G000155955	2577056
G000156015	2496039
G000156035	3995628
G000156055	2479772
G000156115	4018415
G000156175	1809497
G000156215	2475429
G000156275	2391417
G000156295	4326936
G000156335	4527951
G000156355	3047652
G000156435	8511919
G000156515	3889859
G000156535	4411375
G000156575	2206675
G000156595	2809149
G000156655	2517763
G000156675	3058721
G000157355	3427276
G000157895	6577228
G000157915	4041504
G000157935	3512473
G000157955	3245471
G000157975	3626943
G000157995	3932923
G000158075	6417332
G000158095	5504826
G000158155	4208084
G000158175	3261541
G000158195	2671036
G000158215	2546312
G000158275	2514029
G000158295	1960925
G000158315	3487504
G000158455	1690216
G000158475	2488386
G000158495	2436766
G000158595	1691453
G000158615	2171245
G000158655	3478423
G000158915	11030030
G000158935	8318010
G000158955	8653262
G000159015	1723843
G000159035	2702812
G000159055	3842594
G000159075	6920457
G000159095	2145347
G000159115	2437186
G000159155	1667350
G000159215	1867005
G000159235	1430526
G000159315	2721039
G000159335	1604632
G000159435	1877332
G000159495	2991737
G000159635	2385784
G000159995	2585719
G000160035	3479204
G000160055	1895960
G000160075	2043439
G000160095	7163884
G000160115	2169477
G000160135	2676554
G000160435	2406675
G000160455	2123925
G000160535	3273670
G000160555	2054993
G000160575	1980223
G000160615	2435166
G000160635	2706954
G000160655	2642494
G000160675	1947166
G000160695	2166063
G000160775	3079840
G000160835	2302896
G000160875	1277649
G000161755	5523231
G000161775	3523710
G000161835	3487925
G000161895	1639455
G000161935	1725829
G000161975	1084901
G000161995	1790058
G000162015	3090349
G000162395	2026518
G000162435	1648660
G000162475	1743361
G000162575	1623845
G000162755	4152613
G000162875	2096289
G000162895	2520418
G000163515	3137498
G000163555	1237371
G000163595	5267389
G000163695	2113539
G000163775	2372614
G000163875	8556892
G000163895	1931012
G000164135	6564171
G000164395	3636659
G000164635	5100977
G000164675	2153652
G000164695	2506025
G000164865	4814049
G000164905	1742932
G000164985	6238510
G000165465	2309262
G000165485	10260756
G000165505	3132314
G000165675	1638971
G000165715	6006602
G000165735	1765528
G000165795	2630170
G000165905	2214656
G000166055	4014469
G000166095	1243342
G000166135	8815781
G000166195	8408322
G000166275	4787724
G000166295	4651725
G000166355	2770676
G000166395	4059653
G000166415	2613117
G000166695	2802443
G000167195	6238156
G000167355	3828328
G000168295	1581239
G000168715	2538957
G000168735	3203254
G000168775	1894157
G000168835	4472646
G000168975	6561391
G000168995	1304428
G000169035	2439869
G000169075	3925629
G000169115	3576081
G000169155	2889774
G000169175	9771226
G000169235	3186031
G000169255	4241076
G000169335	5880532
G000169375	4894744
G000169395	3582902
G000169415	5262893
G000169435	3497325
G000169455	4555826
G000169655	4720694
G000170295	1800530
G000170715	7631539
G000170735	1663618
G000170755	6023180
G000170795	5788054
G000170875	4178704
G000170895	10587646
G000170915	3390271
G000171235	5671497
G000171335	2686047
G000171615	3381351
G000171775	9161841
G000171835	6102701
G000171875	3825707
G000172075	4351589
G000172095	4105524
G000172155	8220857
G000172375	1512980
G000172475	1141520
G000172495	1158530
G000172515	1153875
G000172555	7414222
G000172635	4653851
G000172975	2576359
G000172995	3944467
G000173075	7848700
G000173095	1905484
G000173115	1515248
G000173355	1889366
G000173555	6003314
G000173615	1534471
G000173655	2513912
G000173675	2997845
G000173795	2671313
G000173815	4548960
G000173895	1872773
G000173915	1916192
G000173975	3290996
G000174015	1626291
G000174195	4048462
G000174355	4228787
G000174395	3052572
G000174415	3116746
G000174435	4107394
G000174755	2667138
G000174815	2064508
G000174895	4573608
G000174995	1070933
G000175035	1688275
G000175095	3337023
G000175215	4308776
G000175255	2143461
G000175375	2855988
G000175395	2541246
G000175415	6501886
G000175555	2680466
G000175575	2987045
G000175795	4915287
G000175835	3879030
G000175855	3186511
G000176015	3514342
G000176095	4086210
G000176155	3815101
G000176235	4698244
G000176335	2287284
G000176355	3273334
G000176775	2452380
G000176795	5046328
G000176855	5482170
G000176895	6166364
G000176915	3629109
G000177015	3197355
G000177075	3033961
G000177235	4681672
G000177335	2562014
G000177375	1419583
G000177535	2601311
G000177555	1726197
G000177615	5340989
G000177635	2928377
G000178115	3008576
G000178255	2953411
G000178335	1418601
G000178455	2561804
G000178475	1540806
G000178815	4962262
G000178835	4714237
G000178875	5368767
G000178955	6237577
G000178975	5503984
G000179055	3592947
G000179235	2686395
G000179255	2427308
G000179315	6554722
G000179395	3433007
G000179555	4673595
G000179575	1677455
G000179595	6156735
G000179615	5452778
G000179635	4482087
G000179715	1449613
G000179775	3731054
G000179815	3174934
G000179915	5095226
G000180175	4092852
G000180455	6676705
G000181475	7777997
G000181895	1252559
G000182745	3513191
G000183135	3685504
G000183325	2522962
G000183345	4894879
G000183405	2216552
G000183425	4516490
G000183525	3384656
G000183545	2888741
G000183565	1836030
G000183585	4099852
G000183665	1258278
G000183685	2268397
G000183725	2819357
G000183745	2439291
G000183885	3115943
G000184345	2560222
G000184435	5783292
G000184535	2498309
G000184685	4024382
G000184705	2844696
G000184745	6550056
G000184945	3284105
G000185045	1474908
G000185145	2839537
G000185365	2415788
G000185385	3082404
G000185425	2122126
G000185445	2098776
G000185465	1373326
G000185505	2362882
G000185725	3587629
G000185805	1759526
G000185845	3274581
G000185885	2617381
G000185905	6690028
G000185925	3915186
G000185965	3419049
G000185985	722585
G000186165	2169437
G000186205	2541845
G000186245	2101285
G000186265	4888353
G000186345	5529304
G000186365	1314639
G000186425	3151925
G000186705	3117324
G000186885	3851869
G000186945	2008072
G000187005	2355186
G000187125	2210307
G000187465	1905984
G000187625	1635292
G000187895	4421924
G000187975	2418558
G000187995	1916985
G000188015	2234402
G000188035	2126865
G000188055	2130431
G000188155	4726034
G000188175	2121954
G000188195	2306546
G000189295	3858580
G000189415	2272954
G000189535	4535320
G000189555	2522992
G000189575	2655201
G000189595	5352498
G000189775	2534358
G000190095	1978848
G000190135	1975004
G000190155	1869210
G000190315	2298983
G000190415	2847648
G000190435	3316466
G000190475	3843870
G000190535	4392288
G000190555	2886836
G000190575	4308663
G000190595	3765936
G000190635	3406739
G000190695	2220455
G000190735	4635236
G000190755	4848329
G000191045	1541968
G000191065	3057407
G000191145	3862530
G000191545	2097766
G000191585	2583753
G000191725	1697099
G000191885	4324239
G000191925	1179213
G000192225	2548422
G000192435	4257286
G000192475	4490413
G000192575	4182647
G000192745	4718963
G000192845	6226409
G000192865	4684316
G000192905	1903901
G000192925	1961697
G000192945	1856042
G000192965	1814430
G000192985	1954090
G000193005	1904293
G000193025	1912542
G000193045	1947635
G000193085	1776416
G000193225	4681801
G000193375	1936063
G000193395	2937589
G000193435	2674809
G000194135	1694430
G000194155	8581920
G000194605	4633577
G000194625	1901943
G000194925	2470575
G000194985	1281836
G000195085	1284727
G000195185	7033319
G000195205	4501499
G000195275	2897425
G000195295	3282536
G000195315	2115681
G000195335	2269167
G000195375	2524513
G000195635	4330716
G000195715	4086189
G000195735	1111523
G000195755	3773159
G000195775	5467640
G000195835	4345492
G000195855	3268203
G000195895	4873766
G000195915	1564906
G000195935	1768562
G000195975	2434428
G000195995	5133713
G000196015	6913352
G000196035	2944528
G000196095	5165770
G000196115	7145576
G000196135	2110355
G000196175	3782950
G000196235	5070478
G000196255	6403280
G000196275	3247018
G000196295	2220606
G000196315	2952962
G000196355	3234309
G000196395	5040536
G000196435	2642404
G000196455	2715461
G000196495	4655660
G000196515	5486145
G000196535	2146480
G000196615	5372268
G000196655	2406232
G000196675	7303989
G000196695	5043170
G000196735	3980199
G000196815	4317083
G000196835	10236715
G000196855	1954080
G000196875	4061296
G000196895	3698650
G000197735	3918192
G000198515	4587455
G000198775	3750138
G000199675	3532378
G000200595	1672681
G000200715	2045086
G000202635	3982034
G000202835	4214744
G000203835	9054847
G000203855	3348624
G000203895	5236194
G000204015	5411525
G000204035	3369316
G000204075	7105752
G000204135	1106197
G000204155	6732271
G000204175	1176836
G000204195	5530232
G000204235	2623290
G000204255	1179220
G000204315	3039623
G000204415	3026645
G000204565	3207592
G000204585	1772718
G000204605	7712377
G000204645	5070751
G000204925	1840348
G000205025	2831696
G000205165	3789812
G000208385	2227296
G000208405	2568361
G000209385	2219029
G000209465	3288100
G000209515	3017625
G000209655	3924810
G000209675	2694139
G000209815	3164379
G000210055	3608022
G000210095	2573208
G000210375	6788435
G000210575	3763317
G000210615	1966750
G000210715	2728333
G000210915	3437906
G000211155	1171629
G000211475	1861320
G000211835	3618708
G000211855	3296168
G000212335	5393591
G000212375	2186370
G000212395	1898865
G000212415	3055580
G000212675	4200534
G000212695	4266344
G000212735	8771651
G000212915	2991798
G000213055	7506727
G000213215	2137654
G000213255	3135972
G000213295	2536778
G000213335	2158589
G000213355	2263841
G000213555	5176087
G000213575	3954365
G000213595	3693727
G000213805	4920769
G000213825	2143887
G000213935	3106595
G000213975	2761262
G000214035	4234613
G000214075	6698929
G000214095	3207552
G000214155	4643668
G000214175	4863490
G000214215	3899940
G000214335	4074265
G000214355	3855671
G000214375	4059867
G000214415	1854197
G000214435	2892255
G000214595	3261960
G000214665	5051681
G000214725	2546541
G000214785	2354088
G000214825	1932455
G000215085	3969014
G000215105	3307740
G000215485	1136981
G000215505	1154411
G000215525	1155236
G000215565	1156921
G000215605	1390987
G000215705	4070193
G000215745	5280350
G000215955	3760335
G000215975	1634377
G000215995	1716818
G000217175	4243036
G000217275	4543171
G000217635	444925
G000217675	4052047
G000217715	4355268
G000217795	2322224
G000217815	2039943
G000217995	2138444
G000218235	3388644
G000218545	3526441
G000218565	3896074
G000218625	2526590
G000218745	1484494
G000218765	2895463
G000218785	2591567
G000218875	2061413
G000218895	6919729
G000219045	2035931
G000219105	9003593
G000219125	4323011
G000219175	538294
G000219255	2407379
G000219275	3184320
G000219355	1183732
G000219535	5153859
G000219585	3783444
G000219605	4547930
G000219725	3239340
G000219785	1877273
G000219805	1441470
G000220155	3863529
G000220175	1607695
G000220235	2669193
G000220255	3127600
G000220335	3727356
G000220505	3862761
G000220525	3384629
G000220545	4370691
G000220565	4649474
G000220585	3704661
G000220625	2571406
G000220645	1746697
G000220835	2828172
G000220985	2812133
G000221145	2430672
G000221185	2011320
G000221545	1650551
G000221565	1950550
G000221605	1731014
G000221625	2335323
G000221945	2453490
G000222105	5579559
G000222125	4796529
G000222305	1403443
G000222485	6221273
G000222855	2952624
G000223155	2866283
G000223375	3277101
G000223395	1843267
G000223905	3890005
G000223985	5595540
G000224005	3779112
G000224065	5524189
G000224085	3842422
G000224335	3279329
G000224415	3466927
G000224475	3643158
G000224515	5702338
G000224715	3433900
G000224765	4255983
G000224785	3775822
G000224985	2066652
G000225005	2943210
G000225325	1375770
G000225345	3592125
G000225365	1569870
G000225445	653223
G000225465	627953
G000225525	8221694
G000225705	2492085
G000225825	3191479
G000225995	6318414
G000226215	3352817
G000226295	3695372
G000226315	2481983
G000226565	4134229
G000226625	1638559
G000226875	2354550
G000226955	4124388
G000227175	2337606
G000227215	3019868
G000227315	2237864
G000227355	1195147
G000227505	2736988
G000227525	2168870
G000227585	1726950
G000227665	2158359
G000227685	3756729
G000227705	4355525
G000227725	3188869
G000227745	5017071
G000227765	2467075
G000228185	2057099
G000228205	2073661
G000228385	2073661
G000228505	2087882
G000228725	5342862
G000228805	1809107
G000228845	1776899
G000228925	1776306
G000229145	1829200
G000229225	1794749
G000229545	1797735
G000229705	1879409
G000230225	1814786
G000230275	2487765
G000230555	3948887
G000230655	1869644
G000230675	2694843
G000230695	4225490
G000230715	3788356
G000230735	4354100
G000230895	6415739
G000230915	6805951
G000230935	7281599
G000230955	3162560
G000231015	1384116
G000231035	4669397
G000231055	4763852
G000231275	2855429
G000231305	3373426
G000231385	4873567
G000231405	3176073
G000231425	5460476
G000231445	2454778
G000233435	590336
G000233455	6647380
G000233535	2163862
G000233655	3784483
G000233695	3974658
G000233715	4855529
G000233775	1999646
G000233915	3452554
G000234115	2593873
G000234355	2887061
G000234585	4870742
G000234805	2467972
G000234825	2017261
G000235405	2166381
G000235425	9978592
G000235445	2687075
G000235505	5697783
G000235565	2571034
G000235605	5863081
G000235645	2587121
G000235665	5890504
G000235685	2052856
G000235705	1838358
G000235885	3097322
G000236035	4208238
G000236085	1297943
G000236145	3761887
G000236165	3909670
G000236405	609561
G000236565	6968952
G000236625	3613819
G000236665	3806980
G000236685	3590853
G000236705	4000057
G000236805	5771987
G000236865	2398022
G000237065	6845832
G000237085	4897678
G000237145	9239851
G000237205	2628375
G000237285	1807534
G000237805	1675934
G000237825	1880838
G000237865	3260476
G000237995	1978793
G000238055	2470863
G000238095	2325163
G000238215	3405521
G000238255	4718298
G000238275	3998432
G000238375	5320014
G000238395	4624159
G000238615	3287261
G000238775	7875477
G000238795	2143543
G000238815	2458945
G000238835	2854910
G000238915	4954410
G000239275	1798854
G000239355	2553535
G000239695	2205725
G000239815	8434788
G000239955	2284024
G000240075	3162432
G000240165	8095515
G000240185	5682322
G000240225	5092500
G000240505	4583671
G000241055	1842238
G000241145	1855559
G000241265	3906554
G000241305	4703019
G000241345	5306375
G000241465	4264936
G000241855	2337938
G000242075	4026612
G000242095	4070988
G000242135	4138659
G000242195	4414579
G000242215	2312695
G000242235	2313632
G000242255	3603458
G000242335	3350206
G000242435	2499879
G000242455	9755686
G000242595	3285855
G000242615	4127237
G000242635	5202069
G000242715	11005945
G000242835	4760413
G000242875	1572957
G000242895	4815602
G000242915	2952682
G000242935	7417673
G000242955	3098456
G000243115	4697343
G000243135	3624449
G000243155	4321753
G000243215	3773011
G000243235	3966857
G000243255	3200946
G000243275	4301842
G000243315	2817452
G000243335	4522760
G000243395	4564108
G000243455	1818783
G000243715	4395904
G000243735	4418431
G000243815	4223825
G000244515	4317431
G000244755	4211147
G000244815	4323312
G000244895	5660978
G000244955	5965593
G000244975	5408301
G000244995	5600627
G000245015	4265146
G000245055	4590519
G000245075	5190553
G000245095	2645252
G000245115	2680814
G000245135	2635815
G000245155	2680985
G000245175	2601131
G000245195	2608312
G000245215	2664783
G000245235	2589840
G000245255	2694762
G000245275	2637559
G000245555	6375964
G000245655	2480412
