DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	completeness
G000012965	99.59
G000012985	99.86
G000013005	99.59
G000013025	99.68
G000013045	96.51
G000013085	99.5
G000013105	99.23
G000013125	99.57
G000013145	100.0
G000013165	99.28
G000013185	100.0
G000013205	100.0
G000013225	100.0
G000013285	99.19
G000013325	99.82
G000013345	99.59
G000013365	99.89
G000013405	96.43
G000013445	99.02
G000013565	99.39
G000013605	99.8
G000013625	99.82
G000013645	100.0
G000013665	100.0
G000013705	99.36
G000013725	99.35
G000013745	99.31
G000013765	96.01
G000013865	99.61
G000013885	99.89
G000013945	97.22
G000013985	99.98
G000014005	99.95
G000014025	100.0
G000014045	99.25
G000014125	100.0
G000014145	100.0
G000014185	98.25
G000014205	100.0
G000014225	100.0
G000014245	99.18
G000014265	99.71
G000014285	99.5
G000014345	99.53
G000014385	98.66
G000014425	98.45
G000014445	100.0
G000014465	99.06
G000014505	99.38
G000014525	99.46
G000014565	99.94
G000014585	99.73
G000014605	99.82
G000014705	99.84
G000014725	97.35
G000014745	99.51
G000014765	99.5
G000014785	100.0
G000014805	99.97
G000014825	99.66
G000014865	98.32
G000014885	99.84
G000014905	100.0
G000014925	99.71
G000014945	100.0
G000014965	99.84
G000015005	99.84
G000015025	98.75
G000015045	97.17
G000015105	94.16
G000015125	99.45
G000015145	98.73
G000015205	100.0
G000015225	98.53
G000015245	100.0
G000015265	98.96
G000015285	100.0
G000015305	100.0
G000015345	97.94
G000015405	100.0
G000015445	98.28
G000015505	99.38
G000015565	99.62
G000015585	98.91
G000015645	99.64
G000015665	100.0
G000015685	99.73
G000015705	100.0
G000015725	99.53
G000015745	99.44
G000015765	99.54
G000015805	100.0
G000015825	99.35
G000015865	99.33
G000015885	99.89
G000015945	98.73
G000015965	99.46
G000016065	99.7
G000016085	98.36
G000016165	100.0
G000016185	99.56
G000016285	99.67
G000016325	99.7
G000016345	99.87
G000016385	100.0
G000016405	99.39
G000016425	99.49
G000016505	99.31
G000016525	100.0
G000016545	99.5
G000016565	99.94
G000016605	100.0
G000016645	99.65
G000016665	99.69
G000016705	99.01
G000016745	97.66
G000016765	99.1
G000016785	100.0
G000016825	98.9
G000016885	99.93
G000016905	98.28
G000016985	99.29
G000017005	100.0
G000017045	99.31
G000017105	100.0
G000017145	99.16
G000017165	99.5
G000017185	99.03
G000017225	99.5
G000017245	100.0
G000017265	100.0
G000017305	99.19
G000017405	100.0
G000017425	98.85
G000017465	99.88
G000017505	99.35
G000017545	98.25
G000017565	100.0
G000017585	99.88
G000017625	99.54
G000017645	100.0
G000017685	100.0
G000017705	99.73
G000017785	99.82
G000017805	99.69
G000017845	99.96
G000017865	100.0
G000017945	99.37
G000018025	99.84
G000018105	99.53
G000018145	99.09
G000018205	100.0
G000018245	99.04
G000018265	99.39
G000018285	99.68
G000018305	99.26
G000018325	98.58
G000018365	97.52
G000018405	99.35
G000018425	98.09
G000018465	100.0
G000018485	99.98
G000018545	100.0
G000018565	98.18
G000018605	96.55
G000018665	99.85
G000018685	99.11
G000018785	98.65
G000018865	99.69
G000018885	99.02
G000018945	100.0
G000019165	100.0
G000019205	98.78
G000019225	100.0
G000019285	99.82
G000019365	99.69
G000019405	99.84
G000019485	100.0
G000019525	99.84
G000019605	93.39
G000019665	98.65
G000019685	100.0
G000019705	100.0
G000019725	100.0
G000019745	92.78
G000019785	100.0
G000019805	100.0
G000019845	99.55
G000019905	100.0
G000019945	99.69
G000019965	99.32
G000020005	98.31
G000020025	99.56
G000020045	99.09
G000020145	96.63
G000020165	100.0
G000020205	99.94
G000020225	97.96
G000020305	100.0
G000020365	99.35
G000020385	99.68
G000020465	99.98
G000020485	99.12
G000020505	98.89
G000020525	99.45
G000020545	99.45
G000020565	81.31
G000020605	99.28
G000020625	98.9
G000020645	98.9
G000020685	98.3
G000020725	99.78
G000020785	100.0
G000020905	100.0
G000020945	100.0
G000020965	100.0
G000020985	99.08
G000021025	99.57
G000021045	99.59
G000021285	96.39
G000021325	100.0
G000021385	99.7
G000021485	99.34
G000021545	99.39
G000021565	99.8
G000021645	100.0
G000021685	98.13
G000021705	98.91
G000021725	99.59
G000021745	99.37
G000021805	99.56
G000021825	99.71
G000021865	99.09
G000021885	99.47
G000021905	99.35
G000021925	98.98
G000021945	99.69
G000021965	99.84
G000021985	99.88
G000022005	99.68
G000022025	99.71
G000022045	99.29
G000022065	99.32
G000022085	99.84
G000022125	99.41
G000022145	99.35
G000022185	99.69
G000022205	99.76
G000022265	99.35
G000022305	99.93
G000022325	100.0
G000022365	100.0
G000022385	99.4
G000022405	99.4
G000022425	99.4
G000022445	99.4
G000022465	99.4
G000022485	99.4
G000022525	99.26
G000022545	98.51
G000022565	100.0
G000022605	98.82
G000022725	99.89
G000022885	99.25
G000022905	99.56
G000022965	100.0
G000023025	100.0
G000023065	100.0
G000023105	99.71
G000023125	99.7
G000023145	97.86
G000023205	98.25
G000023225	99.96
G000023245	100.0
G000023265	94.87
G000023285	100.0
G000023325	100.0
G000023405	100.0
G000023445	100.0
G000023465	99.62
G000023585	99.73
G000023605	99.97
G000023705	99.57
G000023725	100.0
G000023745	99.57
G000023765	97.3
G000023785	99.57
G000023825	100.0
G000023845	100.0
G000023865	100.0
G000023885	100.0
G000023905	100.0
G000023925	94.68
G000023945	98.25
G000023965	99.93
G000023985	99.52
G000024005	99.51
G000024025	99.74
G000024065	100.0
G000024085	100.0
G000024105	99.39
G000024125	99.01
G000024145	99.49
G000024165	99.84
G000024185	99.14
G000024205	99.27
G000024225	100.0
G000024265	100.0
G000024285	99.21
G000024305	99.4
G000024325	100.0
G000024345	100.0
G000024365	99.93
G000024385	100.0
G000024405	100.0
G000024465	99.94
G000024505	100.0
G000024525	100.0
G000024545	99.55
G000024565	98.88
G000024605	95.84
G000024625	99.52
G000024665	100.0
G000024725	99.47
G000024745	100.0
G000024765	100.0
G000024785	100.0
G000024805	98.39
G000024845	100.0
G000024865	99.29
G000024885	99.87
G000024905	98.31
G000024925	100.0
G000024945	100.0
G000024965	100.0
G000024985	98.13
G000025005	98.58
G000025025	99.01
G000025085	99.61
G000025105	100.0
G000025125	73.92
G000025185	98.78
G000025205	99.93
G000025225	93.74
G000025265	98.29
G000025285	99.84
G000025305	99.98
G000025325	99.49
G000025345	99.37
G000025405	100.0
G000025485	99.74
G000025505	100.0
G000025525	99.52
G000025565	100.0
G000025585	99.01
G000025605	99.39
G000025625	99.17
G000025645	99.52
G000025665	100.0
G000025685	99.57
G000025705	99.52
G000025725	98.22
G000025865	99.35
G000025885	100.0
G000025905	99.77
G000025925	99.63
G000025945	97.29
G000025965	100.0
G000026005	100.0
G000026045	99.29
G000026065	99.46
G000026105	100.0
G000026125	99.92
G000026205	95.43
G000026325	99.97
G000026345	98.78
G000026405	99.89
G000026745	100.0
G000027145	99.45
G000027165	99.82
G000027225	100.0
G000027305	99.67
G000043285	98.37
G000046705	100.0
G000055785	99.14
G000055945	93.49
G000056065	98.38
G000058485	99.65
G000060345	99.62
G000062885	100.0
G000063445	100.0
G000063505	99.18
G000063525	99.64
G000063545	99.03
G000063585	99.31
G000064305	99.29
G000067165	94.19
G000067205	100.0
G000068585	98.92
G000069025	99.42
G000069185	100.0
G000069225	99.49
G000069785	99.94
G000069925	98.55
G000069945	100.0
G000069965	100.0
G000072485	100.0
G000073005	100.0
G000090965	98.59
G000091085	99.49
G000091125	100.0
G000091165	96.26
G000091305	100.0
G000091325	99.84
G000091465	99.98
G000091545	99.58
G000091565	100.0
G000091665	99.52
G000091765	99.03
G000091785	100.0
G000091985	99.59
G000092025	100.0
G000092045	99.94
G000092105	99.93
G000092125	99.79
G000092185	98.73
G000092205	99.4
G000092225	99.94
G000092245	99.59
G000092265	100.0
G000092305	99.05
G000092365	97.99
G000092385	99.74
G000092405	98.81
G000092425	97.88
G000092465	99.37
G000092505	100.0
G000092565	96.47
G000092645	98.94
G000092785	97.47
G000092825	96.73
G000092845	99.2
G000092865	100.0
G000092905	95.01
G000092925	100.0
G000092985	100.0
G000093025	99.57
G000093065	93.33
G000093085	99.34
G000093165	97.62
G000143085	100.0
G000143145	99.8
G000143165	97.36
G000143625	98.39
G000143705	99.56
G000143765	99.84
G000143825	99.78
G000143845	99.19
G000143965	98.71
G000143985	96.48
G000144405	99.32
G000144605	100.0
G000144625	99.37
G000144645	95.19
G000144675	99.56
G000144695	97.41
G000144735	98.94
G000144915	99.37
G000144935	99.56
G000145035	99.57
G000145215	99.52
G000145235	100.0
G000145255	99.37
G000145275	98.83
G000145295	100.0
G000145515	98.7
G000145555	99.43
G000145615	99.4
G000145985	100.0
G000146065	100.0
G000146165	99.84
G000146185	98.66
G000146285	100.0
G000146345	98.95
G000146505	100.0
G000146675	99.66
G000146855	99.3
G000146895	99.05
G000147055	99.96
G000147075	100.0
G000147335	99.82
G000147355	99.18
G000147675	98.6
G000147695	99.52
G000147715	98.12
G000147815	100.0
G000147835	100.0
G000147875	99.67
G000148385	99.26
G000148485	99.53
G000148645	100.0
G000148725	98.55
G000148995	99.45
G000151105	99.5
G000151205	100.0
G000152065	99.56
G000152145	98.74
G000152245	99.3
G000152265	98.74
G000152625	99.75
G000152705	99.73
G000152725	99.6
G000152745	99.84
G000152805	99.09
G000152825	97.23
G000152845	99.6
G000152865	98.95
G000152885	97.09
G000152985	99.05
G000153025	98.39
G000153045	99.18
G000153065	99.46
G000153105	98.78
G000153125	99.57
G000153145	99.24
G000153165	99.5
G000153185	97.69
G000153205	97.24
G000153225	99.33
G000153245	100.0
G000153285	99.73
G000153305	98.16
G000153345	99.17
G000153385	98.16
G000153405	100.0
G000153445	98.33
G000153465	100.0
G000153485	98.73
G000153565	98.91
G000153605	80.68
G000153705	99.6
G000153725	98.77
G000153745	94.58
G000153765	99.15
G000153805	99.46
G000153825	99.73
G000153845	98.11
G000153885	98.66
G000153905	99.01
G000153925	99.42
G000154065	98.83
G000154145	99.37
G000154205	98.88
G000154225	100.0
G000154245	99.33
G000154285	100.0
G000154305	99.33
G000154345	99.33
G000154425	99.33
G000154445	99.3
G000154465	99.52
G000154485	100.0
G000154505	99.42
G000154525	99.26
G000154565	97.99
G000154705	99.22
G000154725	99.48
G000154785	99.25
G000154805	100.0
G000154825	98.59
G000154845	98.88
G000155205	99.42
G000155435	99.37
G000155495	98.47
G000155515	99.46
G000155555	98.93
G000155595	98.91
G000155635	99.46
G000155695	100.0
G000155715	96.59
G000155735	99.29
G000155775	91.59
G000155855	93.06
G000155875	99.42
G000155895	100.0
G000155915	97.62
G000155955	100.0
G000156015	99.33
G000156035	99.16
G000156055	100.0
G000156115	99.36
G000156175	99.19
G000156215	98.12
G000156275	75.1
G000156295	97.71
G000156335	99.36
G000156355	97.73
G000156435	95.69
G000156515	98.44
G000156535	95.7
G000156575	98.48
G000156595	99.35
G000156655	96.81
G000156675	98.73
G000157355	99.25
G000157895	99.94
G000157915	98.56
G000157935	98.31
G000157955	96.77
G000157975	96.57
G000157995	97.14
G000158075	96.07
G000158095	99.58
G000158155	98.59
G000158175	99.02
G000158195	98.88
G000158215	100.0
G000158275	100.0
G000158295	92.7
G000158315	100.0
G000158455	99.71
G000158475	99.33
G000158495	100.0
G000158595	98.78
G000158615	95.96
G000158655	98.88
G000158915	93.29
G000158935	97.14
G000158955	98.35
G000159015	99.01
G000159035	96.24
G000159055	99.37
G000159075	98.81
G000159095	100.0
G000159115	99.78
G000159155	99.24
G000159215	98.63
G000159235	100.0
G000159315	98.44
G000159335	98.74
G000159435	98.64
G000159495	99.31
G000159635	97.66
G000159995	98.5
G000160035	99.55
G000160055	98.1
G000160075	98.46
G000160095	87.24
G000160115	98.84
G000160135	98.09
G000160435	97.81
G000160455	100.0
G000160535	97.79
G000160555	99.65
G000160575	99.39
G000160615	99.05
G000160635	92.18
G000160655	97.57
G000160675	99.45
G000160695	98.89
G000160775	99.74
G000160835	98.82
G000160875	99.41
G000161755	98.29
G000161775	99.54
G000161835	99.02
G000161895	98.83
G000161935	100.0
G000161975	88.42
G000161995	100.0
G000162015	98.19
G000162395	98.63
G000162435	98.38
G000162475	88.52
G000162575	99.66
G000162755	96.28
G000162875	100.0
G000162895	97.5
G000163515	99.06
G000163555	98.81
G000163595	99.81
G000163695	98.39
G000163775	97.46
G000163875	98.93
G000163895	97.9
G000164135	98.06
G000164395	98.33
G000164635	94.15
G000164675	99.89
G000164695	99.34
G000164865	99.05
G000164905	98.78
G000164985	99.85
G000165465	100.0
G000165485	100.0
G000165505	100.0
G000165675	95.67
G000165715	95.56
G000165735	100.0
G000165795	98.31
G000165905	99.54
G000166055	97.77
G000166095	100.0
G000166135	100.0
G000166195	97.46
G000166275	99.62
G000166295	99.53
G000166355	99.52
G000166395	98.96
G000166415	99.13
G000166695	100.0
G000167195	99.74
G000167355	97.97
G000168295	93.02
G000168715	95.66
G000168735	58.17
G000168775	99.82
G000168835	58.62
G000168975	99.89
G000168995	97.82
G000169035	99.6
G000169075	98.38
G000169115	99.38
G000169155	96.52
G000169175	98.79
G000169235	99.42
G000169255	98.32
G000169335	99.78
G000169375	98.42
G000169395	99.59
G000169415	99.68
G000169435	98.78
G000169455	99.95
G000169655	99.82
G000170295	99.02
G000170715	89.76
G000170735	98.67
G000170755	97.12
G000170795	100.0
G000170875	99.4
G000170895	95.16
G000170915	99.27
G000171235	98.06
G000171335	72.84
G000171615	96.89
G000171775	92.95
G000171835	99.35
G000171875	98.84
G000172075	97.75
G000172095	99.68
G000172155	100.0
G000172375	63.35
G000172475	96.65
G000172495	98.93
G000172515	99.36
G000172555	99.32
G000172635	99.66
G000172975	100.0
G000172995	99.92
G000173075	97.3
G000173095	91.18
G000173115	72.67
G000173355	95.83
G000173555	96.58
G000173615	86.08
G000173655	99.85
G000173675	99.52
G000173795	100.0
G000173815	98.73
G000173895	98.12
G000173915	98.08
G000173975	99.33
G000174015	100.0
G000174195	99.18
G000174355	99.53
G000174395	99.25
G000174415	95.76
G000174435	100.0
G000174755	99.76
G000174815	99.45
G000174895	99.78
G000174995	98.69
G000175035	98.83
G000175095	99.84
G000175215	99.68
G000175255	100.0
G000175375	99.89
G000175395	97.93
G000175415	99.34
G000175555	100.0
G000175575	99.38
G000175795	99.32
G000175835	99.85
G000175855	99.37
G000176015	96.46
G000176095	100.0
G000176155	98.51
G000176235	100.0
G000176335	100.0
G000176355	99.59
G000176775	99.53
G000176795	98.86
G000176855	99.81
G000176895	99.93
G000176915	99.41
G000177015	99.33
G000177075	99.29
G000177235	99.01
G000177335	100.0
G000177375	98.1
G000177535	99.32
G000177555	100.0
G000177615	98.36
G000177635	94.77
G000178115	97.32
G000178255	99.4
G000178335	100.0
G000178455	99.42
G000178475	99.03
G000178815	100.0
G000178835	97.99
G000178875	99.84
G000178955	99.14
G000178975	99.15
G000179055	97.08
G000179235	99.73
G000179255	99.18
G000179315	94.52
G000179395	98.87
G000179555	100.0
G000179575	99.05
G000179595	99.32
G000179615	99.73
G000179635	99.32
G000179715	100.0
G000179775	99.46
G000179815	85.76
G000179915	100.0
G000180175	96.45
G000180455	99.12
G000181475	100.0
G000181895	100.0
G000182745	99.5
G000183135	100.0
G000183325	98.72
G000183345	99.97
G000183405	99.07
G000183425	100.0
G000183525	99.36
G000183545	100.0
G000183565	99.3
G000183585	100.0
G000183665	98.56
G000183685	99.19
G000183725	99.59
G000183745	98.72
G000183885	75.61
G000184345	100.0
G000184435	99.81
G000184535	99.78
G000184685	100.0
G000184705	100.0
G000184745	100.0
G000184945	99.31
G000185045	98.52
G000185145	99.29
G000185365	98.34
G000185385	99.36
G000185425	100.0
G000185445	100.0
G000185465	99.37
G000185505	99.88
G000185725	96.13
G000185805	99.58
G000185845	98.98
G000185885	99.43
G000185905	99.51
G000185925	99.59
G000185965	99.66
G000185985	96.34
G000186165	99.77
G000186205	99.67
G000186245	99.18
G000186265	99.67
G000186345	98.45
G000186365	100.0
G000186425	98.66
G000186705	99.48
G000186885	99.15
G000186945	100.0
G000187005	100.0
G000187125	99.65
G000187465	100.0
G000187625	99.47
G000187895	99.25
G000187975	99.25
G000187995	100.0
G000188015	100.0
G000188035	100.0
G000188055	99.06
G000188155	99.68
G000188175	100.0
G000188195	100.0
G000189295	100.0
G000189415	100.0
G000189535	99.64
G000189555	99.4
G000189575	99.4
G000189595	99.37
G000189775	99.52
G000190095	100.0
G000190135	100.0
G000190155	94.4
G000190315	100.0
G000190415	96.24
G000190435	97.73
G000190475	99.34
G000190535	99.46
G000190555	96.61
G000190575	98.41
G000190595	99.67
G000190635	100.0
G000190695	99.5
G000190735	100.0
G000190755	99.37
G000191045	99.16
G000191065	99.21
G000191145	99.77
G000191545	98.94
G000191585	99.2
G000191725	99.39
G000191885	99.46
G000191925	97.89
G000192225	100.0
G000192435	99.58
G000192475	99.57
G000192575	99.48
G000192745	100.0
G000192845	100.0
G000192865	99.89
G000192905	100.0
G000192925	99.59
G000192945	99.73
G000192965	98.28
G000192985	99.31
G000193005	98.9
G000193025	99.45
G000193045	100.0
G000193085	100.0
G000193225	96.7
G000193375	100.0
G000193395	99.32
G000193435	98.96
G000194135	99.59
G000194155	98.64
G000194605	100.0
G000194625	99.35
G000194925	98.93
G000194985	99.91
G000195085	98.81
G000195185	99.93
G000195205	96.95
G000195275	100.0
G000195295	98.06
G000195315	100.0
G000195335	99.15
G000195375	75.67
G000195635	99.26
G000195715	100.0
G000195735	99.59
G000195755	99.41
G000195775	99.89
G000195835	99.78
G000195855	80.17
G000195895	99.84
G000195915	97.52
G000195935	100.0
G000195975	99.46
G000195995	100.0
G000196015	99.94
G000196035	99.45
G000196095	100.0
G000196115	99.93
G000196135	99.41
G000196175	97.75
G000196235	99.71
G000196255	99.52
G000196275	99.58
G000196295	99.92
G000196315	99.62
G000196355	99.52
G000196395	100.0
G000196435	100.0
G000196455	98.46
G000196495	99.39
G000196515	98.89
G000196535	100.0
G000196615	100.0
G000196655	100.0
G000196675	99.73
G000196695	99.94
G000196735	99.3
G000196815	97.67
G000196835	100.0
G000196855	99.44
G000196875	99.83
G000196895	99.84
G000197735	99.74
G000198515	97.41
G000198775	97.95
G000199675	93.64
G000200595	99.44
G000200715	99.03
G000202635	99.49
G000202835	100.0
G000203835	100.0
G000203855	99.38
G000203895	99.7
G000204015	98.76
G000204035	92.85
G000204075	99.33
G000204135	98.98
G000204155	100.0
G000204175	97.89
G000204195	99.56
G000204235	100.0
G000204255	97.89
G000204315	99.07
G000204415	99.35
G000204565	100.0
G000204585	98.06
G000204605	100.0
G000204645	99.85
G000204925	100.0
G000205025	100.0
G000205165	99.13
G000208385	100.0
G000208405	100.0
G000209385	98.73
G000209465	96.2
G000209515	99.57
G000209655	100.0
G000209675	100.0
G000209815	97.33
G000210055	75.96
G000210095	97.82
G000210375	99.13
G000210575	97.12
G000210615	72.41
G000210715	88.14
G000210915	95.09
G000211155	97.89
G000211475	100.0
G000211835	98.91
G000211855	99.67
G000212335	100.0
G000212375	99.92
G000212395	98.28
G000212415	100.0
G000212675	100.0
G000212695	100.0
G000212735	99.49
G000212915	97.33
G000213055	99.89
G000213215	99.4
G000213255	97.98
G000213295	94.34
G000213335	51.53
G000213355	43.98
G000213555	100.0
G000213575	100.0
G000213595	98.46
G000213805	99.6
G000213825	98.47
G000213935	99.1
G000213975	99.31
G000214035	99.59
G000214075	99.67
G000214095	99.34
G000214155	100.0
G000214175	99.27
G000214215	100.0
G000214335	99.55
G000214355	98.86
G000214375	98.86
G000214415	99.52
G000214435	99.37
G000214595	100.0
G000214665	99.93
G000214725	99.73
G000214785	99.03
G000214825	100.0
G000215085	99.37
G000215105	100.0
G000215485	97.21
G000215505	99.57
G000215525	99.36
G000215565	99.57
G000215605	99.79
G000215705	100.0
G000215745	100.0
G000215955	97.52
G000215975	98.75
G000215995	100.0
G000217175	84.6
G000217275	96.47
G000217635	98.12
G000217675	99.86
G000217715	99.57
G000217795	99.04
G000217815	100.0
G000217995	99.35
G000218235	98.65
G000218545	100.0
G000218565	99.68
G000218625	99.14
G000218745	94.57
G000218765	93.85
G000218785	98.88
G000218875	100.0
G000218895	100.0
G000219045	99.27
G000219105	99.22
G000219125	99.37
G000219175	88.75
G000219255	84.77
G000219275	91.37
G000219355	98.9
G000219535	99.73
G000219585	100.0
G000219605	99.86
G000219725	98.86
G000219785	100.0
G000219805	96.99
G000220155	99.46
G000220175	100.0
G000220235	99.32
G000220255	99.66
G000220335	99.33
G000220505	99.14
G000220525	96.81
G000220545	99.57
G000220565	98.54
G000220585	98.68
G000220625	100.0
G000220645	99.5
G000220835	99.29
G000220985	98.59
G000221145	99.01
G000221185	100.0
G000221545	99.7
G000221565	95.76
G000221605	97.78
G000221625	99.56
G000221945	99.58
G000222105	99.94
G000222125	99.14
G000222305	100.0
G000222485	100.0
G000222855	90.22
G000223155	96.84
G000223375	95.42
G000223395	99.05
G000223905	99.93
G000223985	99.94
G000224005	99.94
G000224065	99.94
G000224085	99.34
G000224335	99.34
G000224415	97.25
G000224475	97.28
G000224515	99.23
G000224715	99.45
G000224765	70.44
G000224785	100.0
G000224985	98.95
G000225005	99.25
G000225325	99.38
G000225345	99.44
G000225365	100.0
G000225445	100.0
G000225465	100.0
G000225525	100.0
G000225705	100.0
G000225825	99.42
G000225995	85.43
G000226215	99.41
G000226295	95.71
G000226315	90.81
G000226565	100.0
G000226625	99.51
G000226875	99.81
G000226955	99.66
G000227175	99.56
G000227215	98.72
G000227315	91.49
G000227355	99.1
G000227505	96.48
G000227525	95.99
G000227585	66.93
G000227665	100.0
G000227685	99.94
G000227705	98.66
G000227725	95.38
G000227745	99.83
G000227765	100.0
G000228185	97.66
G000228205	99.0
G000228385	99.0
G000228505	98.5
G000228725	99.9
G000228805	99.57
G000228845	99.94
G000228925	99.94
G000229145	99.38
G000229225	99.95
G000229545	99.76
G000229705	99.76
G000230225	99.94
G000230275	100.0
G000230555	99.18
G000230655	100.0
G000230675	99.18
G000230695	100.0
G000230715	99.62
G000230735	99.95
G000230895	99.09
G000230915	99.85
G000230935	100.0
G000230955	98.65
G000231015	100.0
G000231035	93.35
G000231055	99.51
G000231275	100.0
G000231305	96.44
G000231385	99.23
G000231405	99.36
G000231425	99.96
G000231445	100.0
G000233435	100.0
G000233455	99.37
G000233535	100.0
G000233655	99.42
G000233695	100.0
G000233715	99.06
G000233775	100.0
G000233915	97.76
G000234115	99.16
G000234355	99.34
G000234585	99.32
G000234805	100.0
G000234825	100.0
G000235405	98.25
G000235425	98.35
G000235445	98.3
G000235505	98.4
G000235565	100.0
G000235605	99.17
G000235645	99.03
G000235665	99.49
G000235685	99.02
G000235705	99.46
G000235885	98.33
G000236035	100.0
G000236085	99.62
G000236145	100.0
G000236165	100.0
G000236405	98.06
G000236565	99.02
G000236625	100.0
G000236665	100.0
G000236685	100.0
G000236705	100.0
G000236805	99.85
G000236865	100.0
G000237065	100.0
G000237085	100.0
G000237145	99.47
G000237205	96.28
G000237285	99.52
G000237805	100.0
G000237825	100.0
G000237865	99.3
G000237995	97.84
G000238055	99.36
G000238095	97.2
G000238215	98.91
G000238255	100.0
G000238275	100.0
G000238375	99.89
G000238395	100.0
G000238615	100.0
G000238775	99.29
G000238795	99.67
G000238815	99.56
G000238835	99.06
G000238915	99.71
G000239275	98.56
G000239355	97.25
G000239695	100.0
G000239815	99.36
G000239955	98.77
G000240075	99.65
G000240165	100.0
G000240185	99.65
G000240225	96.58
G000240505	97.16
G000241055	97.59
G000241145	99.03
G000241265	100.0
G000241305	99.53
G000241345	99.21
G000241465	98.98
G000241855	99.56
G000242075	99.65
G000242095	99.65
G000242135	99.65
G000242195	100.0
G000242215	91.85
G000242235	98.73
G000242255	98.68
G000242335	99.32
G000242435	100.0
G000242455	99.61
G000242595	100.0
G000242615	99.12
G000242635	100.0
G000242715	100.0
G000242835	99.06
G000242875	92.39
G000242895	99.44
G000242915	100.0
G000242935	100.0
G000242955	100.0
G000243115	100.0
G000243135	97.96
G000243155	98.72
G000243215	100.0
G000243235	99.49
G000243255	100.0
G000243275	99.65
G000243315	100.0
G000243335	100.0
G000243395	100.0
G000243455	99.52
G000243715	96.47
G000243735	97.65
G000243815	97.65
G000244515	97.65
G000244755	98.82
G000244815	97.06
G000244895	99.43
G000244955	100.0
G000244975	100.0
G000244995	100.0
G000245015	98.81
G000245055	100.0
G000245075	100.0
G000245095	99.4
G000245115	99.4
G000245135	99.4
G000245155	99.4
G000245175	99.4
G000245195	98.81
G000245215	99.4
G000245235	99.11
G000245255	99.37
