DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	coding density
G000012565	72.7
G000012585	89.07
G000012605	90.52
G000012645	90.12
G000012665	88.02
G000012685	90.33
G000012725	84.5
G000012745	91.48
G000012805	86.95
G000012825	89.2
G000012845	90.49
G000012865	90.31
G000012885	86.66
G000012905	87.66
G000012925	90.56
G000012965	93.29
G000012985	87.69
G000013005	91.73
G000013025	90.91
G000013045	85.27
G000013085	88.38
G000013105	88.01
G000013125	71.99
G000013145	78.13
G000013165	85.72
G000013185	86.65
G000013205	86.03
G000013225	86.02
G000013285	83.75
G000013325	91.63
G000013345	85.0
G000013365	87.03
G000013405	86.35
G000013445	88.44
G000013565	90.38
G000013605	89.94
G000013625	89.76
G000013645	85.86
G000013665	87.3
G000013705	90.47
G000013725	85.13
G000013745	85.51
G000013765	85.11
G000013865	88.04
G000013885	83.06
G000013945	81.72
G000013985	90.25
G000014005	90.15
G000014025	93.34
G000014045	90.43
G000014125	86.92
G000014145	90.01
G000014185	92.36
G000014205	88.81
G000014225	86.98
G000014245	89.51
G000014265	62.49
G000014285	90.99
G000014345	74.88
G000014385	88.01
G000014425	89.43
G000014445	88.6
G000014465	85.54
G000014505	88.39
G000014525	84.77
G000014565	87.75
G000014585	87.32
G000014605	88.41
G000014705	84.54
G000014725	84.39
G000014745	90.22
G000014765	87.55
G000014785	90.35
G000014805	87.2
G000014825	85.65
G000014865	87.16
G000014885	84.11
G000014905	91.29
G000014925	89.91
G000014945	84.69
G000014965	82.68
G000015005	92.25
G000015025	89.98
G000015045	87.74
G000015105	81.55
G000015125	85.81
G000015145	85.21
G000015205	89.16
G000015225	91.12
G000015245	88.37
G000015265	91.38
G000015285	79.14
G000015305	91.88
G000015345	91.27
G000015405	92.08
G000015445	81.45
G000015505	88.32
G000015565	88.77
G000015585	92.11
G000015645	90.84
G000015665	88.69
G000015685	86.95
G000015705	83.22
G000015725	91.35
G000015745	84.2
G000015765	88.43
G000015805	91.97
G000015825	87.14
G000015865	84.94
G000015885	88.26
G000015945	88.84
G000015965	90.74
G000016065	85.74
G000016085	91.76
G000016165	84.92
G000016185	88.1
G000016285	87.23
G000016325	88.01
G000016345	93.3
G000016385	88.87
G000016405	89.02
G000016425	87.82
G000016505	84.45
G000016525	90.13
G000016545	88.28
G000016565	89.31
G000016605	89.02
G000016645	88.06
G000016665	87.67
G000016705	90.64
G000016745	87.68
G000016765	91.05
G000016785	94.96
G000016825	86.68
G000016885	83.7
G000016905	92.23
G000016985	84.12
G000017005	88.64
G000017045	81.33
G000017105	88.71
G000017145	86.8
G000017165	86.8
G000017185	84.94
G000017225	88.02
G000017245	88.67
G000017265	91.23
G000017305	89.26
G000017405	88.1
G000017425	81.34
G000017465	91.0
G000017505	89.86
G000017545	91.49
G000017565	90.21
G000017585	86.83
G000017625	86.74
G000017645	87.63
G000017685	93.03
G000017705	85.06
G000017785	88.45
G000017805	86.1
G000017845	85.89
G000017865	94.38
G000017945	92.63
G000018025	83.68
G000018105	83.92
G000018145	89.96
G000018205	78.32
G000018245	85.79
G000018265	87.27
G000018285	83.89
G000018305	88.52
G000018325	85.32
G000018365	90.7
G000018405	88.48
G000018425	86.8
G000018465	91.96
G000018485	88.24
G000018545	86.01
G000018565	88.65
G000018605	90.3
G000018665	89.48
G000018685	82.88
G000018785	91.42
G000018865	83.73
G000018885	90.22
G000018945	95.21
G000019165	85.75
G000019205	94.16
G000019225	90.65
G000019285	91.97
G000019365	82.9
G000019405	88.71
G000019485	87.76
G000019525	85.46
G000019605	91.31
G000019665	88.93
G000019685	85.81
G000019705	87.08
G000019725	85.28
G000019745	89.52
G000019785	92.11
G000019805	90.93
G000019845	83.91
G000019905	88.34
G000019945	86.0
G000019965	88.64
G000020005	87.27
G000020025	81.41
G000020045	85.32
G000020145	91.0
G000020165	82.5
G000020205	88.67
G000020225	88.16
G000020305	86.77
G000020365	87.99
G000020385	91.83
G000020465	88.31
G000020485	87.56
G000020505	87.76
G000020525	87.37
G000020545	85.99
G000020565	81.61
G000020605	87.89
G000020625	88.29
G000020645	87.97
G000020685	85.63
G000020725	87.3
G000020785	95.12
G000020905	88.42
G000020945	92.43
G000020965	93.41
G000020985	93.93
G000021025	87.09
G000021045	86.34
G000021285	91.55
G000021325	89.18
G000021385	83.37
G000021485	90.34
G000021545	94.38
G000021565	94.73
G000021645	93.87
G000021685	88.55
G000021705	83.59
G000021725	93.45
G000021745	86.64
G000021805	85.97
G000021825	82.76
G000021865	90.29
G000021885	86.36
G000021905	87.31
G000021925	86.64
G000021945	88.74
G000021965	86.0
G000021985	87.88
G000022005	88.94
G000022025	89.45
G000022045	86.82
G000022065	87.79
G000022085	81.87
G000022125	84.27
G000022145	90.61
G000022185	83.51
G000022205	85.38
G000022265	90.23
G000022305	89.96
G000022325	87.45
G000022365	92.59
G000022385	87.79
G000022405	88.2
G000022425	87.76
G000022445	88.33
G000022465	88.32
G000022485	87.55
G000022525	85.61
G000022545	90.89
G000022565	88.57
G000022605	95.04
G000022725	76.02
G000022885	83.11
G000022905	89.54
G000022965	86.73
G000023025	87.22
G000023065	89.15
G000023105	92.68
G000023125	90.65
G000023145	88.43
G000023205	90.54
G000023225	89.49
G000023245	87.93
G000023265	90.8
G000023285	86.56
G000023325	89.36
G000023405	89.88
G000023445	89.01
G000023465	87.73
G000023585	88.76
G000023605	86.63
G000023705	89.71
G000023725	90.38
G000023745	91.25
G000023765	79.14
G000023785	89.71
G000023825	92.95
G000023845	88.01
G000023865	88.15
G000023885	86.62
G000023905	85.08
G000023925	90.57
G000023945	88.5
G000023965	86.92
G000023985	90.52
G000024005	88.93
G000024025	89.03
G000024065	90.88
G000024085	89.96
G000024105	89.02
G000024125	91.55
G000024145	89.69
G000024165	88.89
G000024185	78.07
G000024205	82.71
G000024225	89.73
G000024265	87.61
G000024285	88.72
G000024305	87.66
G000024325	85.19
G000024345	90.09
G000024365	89.61
G000024385	84.9
G000024405	86.41
G000024465	91.26
G000024505	86.75
G000024525	88.11
G000024545	91.24
G000024565	90.54
G000024605	90.76
G000024625	85.19
G000024665	91.25
G000024725	87.68
G000024745	86.24
G000024765	89.77
G000024785	90.44
G000024805	88.57
G000024845	91.89
G000024865	86.57
G000024885	92.95
G000024905	92.79
G000024925	90.28
G000024945	87.28
G000024965	91.12
G000024985	86.06
G000025005	91.6
G000025025	90.41
G000025085	84.73
G000025105	94.83
G000025125	80.82
G000025185	86.24
G000025205	86.81
G000025225	89.05
G000025265	93.76
G000025285	93.11
G000025305	87.47
G000025325	82.13
G000025345	86.82
G000025405	86.2
G000025485	90.83
G000025505	92.34
G000025525	88.69
G000025565	88.81
G000025585	90.07
G000025605	96.03
G000025625	84.14
G000025645	87.95
G000025665	94.77
G000025685	85.75
G000025705	91.31
G000025725	91.23
G000025865	89.17
G000025885	91.43
G000025905	90.18
G000025925	92.14
G000025945	84.07
G000025965	89.19
G000026005	62.91
G000026045	90.28
G000026065	86.74
G000026105	88.54
G000026125	88.35
G000026205	78.75
G000026325	87.78
G000026345	88.03
G000026405	88.81
G000026745	87.43
G000027145	88.81
G000027165	87.53
G000027225	84.59
G000027305	87.65
G000043285	84.0
G000046705	74.56
G000055785	89.35
G000055945	84.38
G000056065	84.02
G000058485	85.41
G000060345	89.67
G000062885	86.37
G000063445	84.22
G000063505	93.01
G000063525	92.47
G000063545	75.24
G000063585	81.41
G000064305	86.95
G000067165	86.96
G000067205	89.88
G000068585	89.79
G000069025	87.92
G000069185	92.71
G000069225	89.41
G000069785	87.4
G000069925	74.01
G000069945	88.52
G000069965	84.87
G000072485	88.62
G000073005	87.02
G000090965	85.42
G000091085	89.23
G000091125	88.69
G000091165	88.2
G000091305	87.16
G000091325	81.7
G000091465	85.18
G000091545	93.8
G000091565	84.7
G000091665	87.86
G000091765	87.94
G000091785	85.55
G000091985	89.24
G000092025	87.85
G000092045	86.42
G000092105	84.93
G000092125	90.37
G000092185	91.72
G000092205	89.96
G000092225	92.5
G000092245	93.14
G000092265	85.41
G000092305	92.73
G000092365	88.97
G000092385	88.51
G000092405	87.06
G000092425	87.9
G000092465	88.14
G000092505	88.13
G000092565	75.39
G000092645	83.93
G000092785	93.51
G000092825	90.72
G000092845	86.82
G000092865	90.6
G000092905	87.03
G000092925	88.9
G000092985	84.77
G000093025	90.22
G000093065	79.99
G000093085	88.09
G000093165	94.73
G000143085	87.32
G000143145	87.89
G000143165	88.97
G000143625	81.7
G000143705	88.17
G000143765	89.92
G000143825	90.97
G000143845	87.44
G000143965	90.56
G000143985	93.07
G000144405	82.44
G000144605	91.06
G000144625	88.01
G000144645	88.86
G000144675	88.33
G000144695	86.76
G000144735	89.74
G000144915	90.77
G000144935	88.2
G000145035	89.09
G000145215	88.67
G000145235	89.92
G000145255	91.11
G000145275	83.43
G000145295	90.71
G000145515	89.75
G000145555	89.75
G000145615	87.94
G000145985	87.29
G000146065	86.56
G000146165	85.0
G000146185	89.83
G000146285	89.82
G000146345	86.43
G000146505	91.19
G000146675	84.8
G000146855	81.1
G000146895	85.74
G000147055	85.07
G000147075	94.01
G000147335	84.9
G000147355	93.86
G000147675	87.94
G000147695	87.13
G000147715	85.47
G000147815	87.27
G000147835	89.09
G000147875	88.02
G000148385	90.88
G000148485	87.98
G000148645	88.97
G000148725	88.26
G000148995	89.15
G000151105	92.31
G000151205	92.85
G000152065	88.23
G000152145	89.06
G000152245	88.67
G000152265	88.14
G000152625	90.06
G000152705	92.27
G000152725	89.71
G000152745	90.85
G000152805	90.47
G000152825	91.05
G000152845	90.06
G000152865	91.91
G000152885	90.53
G000152985	90.09
G000153025	86.09
G000153045	83.77
G000153065	92.64
G000153105	86.77
G000153125	90.93
G000153145	92.66
G000153165	92.54
G000153185	88.98
G000153205	85.88
G000153225	85.37
G000153245	87.11
G000153285	90.52
G000153305	90.69
G000153345	89.24
G000153385	91.43
G000153405	84.09
G000153445	88.83
G000153465	87.73
G000153485	83.33
G000153565	89.99
G000153605	80.25
G000153705	86.48
G000153725	87.61
G000153745	92.04
G000153765	86.6
G000153805	90.01
G000153825	89.67
G000153845	87.6
G000153885	86.58
G000153905	88.95
G000153925	87.26
G000154065	88.13
G000154145	87.83
G000154205	90.46
G000154225	88.89
G000154245	87.37
G000154285	88.54
G000154305	89.93
G000154345	84.91
G000154425	87.12
G000154445	84.88
G000154465	85.9
G000154485	88.28
G000154505	88.09
G000154525	89.74
G000154565	87.11
G000154705	89.48
G000154725	87.58
G000154785	89.63
G000154805	87.32
G000154825	86.0
G000154845	87.84
G000155205	86.95
G000155435	87.46
G000155495	87.97
G000155515	84.83
G000155555	81.01
G000155595	83.5
G000155635	89.67
G000155695	89.86
G000155715	89.13
G000155735	86.97
G000155775	89.78
G000155855	89.49
G000155875	85.93
G000155895	96.33
G000155915	88.27
G000155955	87.86
G000156015	90.79
G000156035	85.06
G000156055	83.17
G000156115	89.82
G000156175	85.64
G000156215	80.89
G000156275	88.13
G000156295	90.82
G000156335	89.56
G000156355	91.54
G000156435	81.02
G000156515	90.63
G000156535	84.37
G000156575	86.85
G000156595	85.12
G000156655	84.65
G000156675	89.48
G000157355	87.23
G000157895	89.33
G000157915	84.64
G000157935	85.39
G000157955	88.56
G000157975	84.76
G000157995	81.7
G000158075	81.9
G000158095	88.79
G000158155	91.38
G000158175	89.95
G000158195	89.88
G000158215	86.39
G000158275	89.23
G000158295	88.27
G000158315	88.1
G000158455	91.39
G000158475	85.89
G000158495	87.31
G000158595	89.72
G000158615	82.24
G000158655	77.93
G000158915	82.37
G000158935	85.46
G000158955	85.81
G000159015	90.03
G000159035	83.54
G000159055	85.27
G000159075	91.32
G000159095	87.15
G000159115	88.71
G000159155	86.78
G000159215	83.25
G000159235	87.1
G000159315	80.36
G000159335	90.36
G000159435	83.54
G000159495	81.75
G000159635	86.84
G000159995	82.59
G000160035	88.13
G000160055	87.31
G000160075	89.14
G000160095	79.39
G000160115	86.77
G000160135	85.37
G000160435	82.39
G000160455	91.25
G000160535	85.5
G000160555	90.54
G000160575	86.39
G000160615	86.6
G000160635	79.95
G000160655	85.65
G000160675	86.95
G000160695	90.09
G000160775	92.53
G000160835	85.44
G000160875	89.23
G000161755	86.51
G000161775	89.86
G000161835	90.02
G000161895	88.35
G000161935	88.15
G000161975	90.59
G000161995	89.07
G000162015	85.97
G000162395	83.23
G000162435	86.38
G000162475	87.14
G000162575	92.68
G000162755	84.35
G000162875	87.43
G000162895	85.55
G000163515	87.75
G000163555	96.46
G000163595	84.78
G000163695	88.11
G000163775	84.43
G000163875	84.27
G000163895	82.28
G000164135	85.39
G000164395	83.5
G000164635	76.47
G000164675	87.78
G000164695	85.51
G000164865	88.66
G000164905	96.28
G000164985	84.52
G000165465	89.19
G000165485	90.54
G000165505	85.48
G000165675	87.86
G000165715	86.15
G000165735	90.31
G000165795	91.51
G000165905	85.27
G000166055	86.12
G000166095	94.09
G000166135	86.16
G000166195	86.39
G000166275	90.8
G000166295	91.0
G000166355	90.07
G000166395	91.32
G000166415	88.91
G000166695	87.48
G000167195	81.97
G000167355	88.11
G000168295	89.59
G000168715	88.26
G000168735	79.4
G000168775	88.53
G000168835	84.11
G000168975	86.67
G000168995	94.54
G000169035	86.33
G000169075	86.2
G000169115	90.37
G000169155	86.61
G000169175	81.54
G000169235	87.45
G000169255	88.56
G000169335	85.62
G000169375	88.98
G000169395	90.72
G000169415	88.7
G000169435	91.82
G000169455	88.11
G000169655	83.39
G000170295	87.1
G000170715	79.04
G000170735	93.16
G000170755	88.26
G000170795	90.52
G000170875	88.97
G000170895	90.48
G000170915	93.26
G000171235	87.9
G000171335	91.69
G000171615	83.25
G000171775	83.93
G000171835	90.27
G000171875	92.56
G000172075	82.29
G000172095	89.37
G000172155	87.16
G000172375	86.91
G000172475	85.85
G000172495	86.4
G000172515	85.94
G000172555	89.12
G000172635	88.24
G000172975	92.26
G000172995	87.14
G000173075	88.31
G000173095	93.47
G000173115	93.15
G000173355	87.27
G000173555	81.76
G000173615	84.96
G000173655	89.24
G000173675	91.94
G000173795	89.59
G000173815	88.57
G000173895	86.97
G000173915	85.35
G000173975	83.81
G000174015	89.38
G000174195	88.06
G000174355	88.14
G000174395	84.67
G000174415	88.73
G000174435	83.32
G000174755	89.83
G000174815	89.25
G000174895	86.74
G000174995	90.62
G000175035	90.98
G000175095	86.56
G000175215	88.32
G000175255	85.44
G000175375	86.74
G000175395	85.42
G000175415	81.43
G000175555	86.49
G000175575	90.65
G000175795	89.57
G000175835	86.29
G000175855	87.24
G000176015	90.93
G000176095	85.16
G000176155	85.7
G000176235	87.56
G000176335	90.17
G000176355	91.62
G000176775	88.3
G000176795	84.48
G000176855	90.72
G000176895	82.55
G000176915	89.16
G000177015	88.48
G000177075	87.1
G000177235	80.82
G000177335	87.41
G000177375	91.12
G000177535	88.98
G000177555	90.13
G000177615	82.54
G000177635	89.04
G000178115	86.04
G000178255	85.38
G000178335	87.32
G000178455	91.75
G000178475	87.71
G000178815	87.46
G000178835	85.64
G000178875	84.46
G000178955	87.79
G000178975	88.09
G000179055	88.12
G000179235	90.98
G000179255	90.82
G000179315	87.79
G000179395	89.01
G000179555	87.25
G000179575	83.89
G000179595	85.19
G000179615	87.91
G000179635	86.08
G000179715	86.62
G000179775	91.04
G000179815	87.7
G000179915	90.46
G000180175	83.49
G000180455	84.2
G000181475	86.89
G000181895	86.58
G000182745	86.85
G000183135	87.46
G000183325	87.04
G000183345	87.99
G000183405	93.71
G000183425	89.66
G000183525	85.9
G000183545	84.45
G000183565	89.38
G000183585	85.22
G000183665	80.2
G000183685	85.04
G000183725	93.04
G000183745	92.38
G000183885	59.07
G000184345	93.78
G000184435	92.03
G000184535	87.74
G000184685	90.48
G000184705	85.16
G000184745	91.88
G000184945	85.93
G000185045	89.41
G000185145	88.3
G000185365	83.26
G000185385	86.21
G000185425	90.28
G000185445	90.14
G000185465	89.94
G000185505	86.31
G000185725	90.08
G000185805	94.72
G000185845	81.25
G000185885	83.22
G000185905	87.26
G000185925	90.71
G000185965	89.53
G000185985	81.81
G000186165	86.48
G000186205	83.51
G000186245	90.32
G000186265	88.63
G000186345	84.66
G000186365	90.36
G000186425	86.93
G000186705	92.0
G000186885	88.68
G000186945	90.65
G000187005	94.25
G000187125	90.24
G000187465	87.23
G000187625	91.76
G000187895	90.9
G000187975	82.28
G000187995	85.69
G000188015	88.15
G000188035	87.09
G000188055	89.16
G000188155	86.21
G000188175	87.63
G000188195	88.26
G000189295	88.36
G000189415	89.84
G000189535	89.81
G000189555	88.05
G000189575	87.91
G000189595	84.85
G000189775	88.81
G000190095	90.22
G000190135	90.04
G000190155	90.17
G000190315	90.69
G000190415	84.18
G000190435	91.78
G000190475	86.02
G000190535	89.02
G000190555	88.13
G000190575	87.73
G000190595	91.3
G000190635	87.84
G000190695	84.99
G000190735	89.46
G000190755	86.44
G000191045	94.74
G000191065	82.4
G000191145	87.98
G000191545	87.68
G000191585	83.7
G000191725	90.78
G000191885	82.42
G000191925	90.59
G000192225	87.06
G000192435	91.35
G000192475	90.56
G000192575	90.0
G000192745	88.95
G000192845	88.84
G000192865	87.25
G000192905	86.63
G000192925	86.84
G000192945	86.47
G000192965	86.14
G000192985	86.5
G000193005	85.97
G000193025	86.59
G000193045	86.64
G000193085	86.51
G000193225	90.39
G000193375	91.4
G000193395	84.6
G000193435	87.04
G000194135	94.67
G000194155	82.75
G000194605	90.62
G000194625	90.39
G000194925	80.1
G000194985	87.11
G000195085	94.85
G000195185	88.73
G000195205	89.14
G000195275	89.87
G000195295	85.72
G000195315	87.99
G000195335	92.99
G000195375	80.08
G000195635	90.53
G000195715	90.25
G000195735	76.92
G000195755	85.99
G000195775	87.18
G000195835	90.27
G000195855	73.78
G000195895	71.77
G000195915	88.31
G000195935	92.83
G000195975	90.29
G000195995	86.73
G000196015	87.92
G000196035	89.19
G000196095	86.2
G000196115	88.69
G000196135	94.28
G000196175	92.33
G000196235	89.38
G000196255	82.48
G000196275	89.81
G000196295	84.5
G000196315	92.77
G000196355	86.35
G000196395	85.79
G000196435	75.48
G000196455	89.64
G000196495	86.48
G000196515	67.7
G000196535	90.18
G000196615	87.58
G000196655	86.28
G000196675	89.26
G000196695	91.29
G000196735	87.76
G000196815	88.61
G000196835	90.43
G000196855	87.37
G000196875	89.7
G000196895	86.62
G000197735	87.55
G000198515	89.91
G000198775	84.17
G000199675	92.36
G000200595	92.99
G000200715	88.72
G000202635	91.18
G000202835	89.81
G000203835	88.04
G000203855	84.19
G000203895	90.24
G000204015	86.5
G000204035	83.95
G000204075	82.61
G000204135	92.43
G000204155	89.17
G000204175	90.3
G000204195	89.15
G000204235	88.14
G000204255	90.54
G000204315	93.15
G000204415	86.22
G000204565	85.47
G000204585	85.76
G000204605	87.56
G000204645	91.06
G000204925	89.0
G000205025	88.71
G000205165	91.35
G000208385	90.07
G000208405	88.96
G000209385	91.17
G000209465	88.64
G000209515	88.03
G000209655	91.73
G000209675	89.11
G000209815	87.88
G000210055	75.65
G000210095	86.91
G000210375	80.59
G000210575	84.9
G000210615	69.5
G000210715	75.06
G000210915	93.18
G000211155	89.89
G000211475	91.9
G000211835	90.79
G000211855	91.87
G000212335	87.15
G000212375	87.45
G000212395	92.47
G000212415	90.67
G000212675	85.07
G000212695	90.64
G000212735	89.27
G000212915	86.41
G000213055	84.9
G000213215	88.87
G000213255	90.82
G000213295	85.48
G000213335	87.64
G000213355	86.76
G000213555	87.86
G000213575	89.89
G000213595	82.48
G000213805	88.66
G000213825	86.96
G000213935	90.49
G000213975	88.55
G000214035	91.07
G000214075	81.71
G000214095	89.83
G000214155	92.43
G000214175	91.8
G000214215	88.66
G000214335	91.33
G000214355	93.42
G000214375	91.75
G000214415	83.01
G000214435	85.62
G000214595	92.08
G000214665	88.73
G000214725	79.18
G000214785	87.89
G000214825	93.81
G000215085	84.92
G000215105	91.2
G000215485	86.68
G000215505	86.79
G000215525	86.72
G000215565	86.96
G000215605	82.3
G000215705	92.51
G000215745	87.94
G000215955	89.43
G000215975	94.08
G000215995	91.67
G000217175	76.25
G000217275	76.18
G000217635	80.81
G000217675	86.91
G000217715	85.39
G000217795	90.68
G000217815	93.58
G000217995	87.11
G000218235	88.74
G000218545	91.63
G000218565	87.88
G000218625	88.36
G000218745	88.69
G000218765	87.22
G000218785	90.95
G000218875	85.61
G000218895	88.61
G000219045	92.04
G000219105	90.24
G000219125	86.91
G000219175	78.68
G000219255	83.38
G000219275	85.77
G000219355	78.53
G000219535	83.78
G000219585	86.36
G000219605	89.63
G000219725	92.58
G000219785	88.43
G000219805	85.11
G000220155	83.83
G000220175	90.08
G000220235	84.02
G000220255	80.92
G000220335	83.07
G000220505	88.59
G000220525	91.79
G000220545	91.39
G000220565	88.23
G000220585	93.08
G000220625	87.7
G000220645	89.3
G000220835	87.02
G000220985	88.52
G000221145	89.8
G000221185	91.8
G000221545	89.58
G000221565	88.47
G000221605	86.7
G000221625	88.2
G000221945	88.81
G000222105	91.6
G000222125	88.95
G000222305	87.75
G000222485	87.0
G000222855	67.33
G000223155	81.55
G000223375	91.77
G000223395	88.53
G000223905	87.13
G000223985	85.51
G000224005	88.71
G000224065	88.0
G000224085	90.61
G000224335	88.51
G000224415	89.84
G000224475	86.14
G000224515	81.99
G000224715	91.87
G000224765	83.69
G000224785	83.67
G000224985	83.4
G000225005	91.36
G000225325	86.66
G000225345	88.21
G000225365	90.83
G000225445	87.7
G000225465	86.48
G000225525	86.35
G000225705	85.05
G000225825	89.65
G000225995	87.55
G000226215	91.36
G000226295	90.89
G000226315	90.54
G000226565	88.63
G000226625	93.26
G000226875	81.71
G000226955	90.81
G000227175	88.17
G000227215	90.69
G000227315	81.39
G000227355	88.85
G000227505	91.78
G000227525	94.09
G000227585	88.45
G000227665	93.23
G000227685	87.13
G000227705	87.32
G000227725	87.38
G000227745	87.8
G000227765	83.25
G000228185	84.39
G000228205	84.4
G000228385	84.4
G000228505	83.45
G000228725	87.27
G000228805	86.68
G000228845	86.79
G000228925	86.83
G000229145	86.76
G000229225	86.71
G000229545	87.03
G000229705	86.84
G000230225	86.7
G000230275	87.15
G000230555	89.96
G000230655	95.0
G000230675	89.05
G000230695	89.65
G000230715	83.55
G000230735	84.62
G000230895	92.6
G000230915	85.13
G000230935	91.83
G000230955	88.14
G000231015	89.5
G000231035	80.31
G000231055	89.15
G000231275	87.46
G000231305	81.47
G000231385	83.36
G000231405	86.46
G000231425	85.85
G000231445	90.11
G000233435	95.16
G000233455	88.31
G000233535	86.6
G000233655	89.3
G000233695	87.9
G000233715	82.35
G000233775	92.5
G000233915	88.12
G000234115	86.3
G000234355	90.0
G000234585	91.93
G000234805	90.41
G000234825	88.24
G000235405	91.56
G000235425	84.4
G000235445	85.26
G000235505	88.66
G000235565	87.08
G000235605	84.98
G000235645	83.13
G000235665	85.31
G000235685	89.14
G000235705	86.83
G000235885	87.32
G000236035	88.19
G000236085	87.73
G000236145	88.58
G000236165	88.27
G000236405	92.29
G000236565	86.5
G000236625	89.98
G000236665	89.91
G000236685	90.08
G000236705	91.55
G000236805	85.87
G000236865	83.07
G000237065	88.06
G000237085	83.03
G000237145	88.43
G000237205	90.49
G000237285	91.18
G000237805	89.74
G000237825	90.79
G000237865	78.27
G000237995	87.16
G000238055	86.86
G000238095	82.92
G000238215	89.43
G000238255	89.56
G000238275	89.21
G000238375	88.54
G000238395	87.74
G000238615	87.17
G000238775	84.24
G000238795	89.7
G000238815	91.68
G000238835	86.1
G000238915	89.1
G000239275	87.83
G000239355	87.51
G000239695	87.3
G000239815	86.24
G000239955	88.83
G000240075	86.75
G000240165	87.23
G000240185	87.54
G000240225	90.97
G000240505	92.31
G000241055	90.72
G000241145	89.16
G000241265	92.04
G000241305	91.55
G000241345	90.48
G000241465	89.32
G000241855	88.16
G000242075	85.3
G000242095	85.63
G000242135	85.02
G000242195	84.84
G000242215	86.61
G000242235	88.13
G000242255	87.22
G000242335	88.65
G000242435	78.12
G000242455	83.45
G000242595	93.83
G000242615	89.78
G000242635	88.23
G000242715	88.82
G000242835	86.54
G000242875	89.59
G000242895	81.52
G000242915	93.7
G000242935	88.85
G000242955	85.05
G000243115	88.61
G000243135	86.53
G000243155	85.56
G000243215	86.73
G000243235	86.15
G000243255	86.48
G000243275	86.22
G000243315	81.58
G000243335	90.95
G000243395	89.84
G000243455	87.06
G000243715	89.15
G000243735	90.64
G000243815	82.9
G000244515	77.4
G000244755	91.91
G000244815	81.55
G000244895	84.49
G000244955	90.38
G000244975	90.18
G000244995	90.98
G000245015	86.23
G000245055	86.81
G000245075	90.17
G000245095	87.83
G000245115	87.6
G000245135	87.55
G000245155	87.46
G000245175	88.11
G000245195	87.95
G000245215	87.92
G000245235	87.82
G000245255	87.39
